法院名稱,登記案號,登記號數,案由,法人名稱,登記日期,類別,設立登記撤銷,設立登記註銷,明細,檔案位置,ID,法院代碼
臺灣彰化地方法院,058法登2,2,設立登記,財團法人私立中州工業專科學校,058/11/28,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAJafAAE&bc=058&cd=%AA%6B%B5%6E++++++++++++++++&de=000002&ef=CHD&fg=1,output/details/CHD/AAE/AAAdkxAAHAAAJafAAE.json,AAAdkxAAHAAAJafAAE,CHD
臺灣彰化地方法院,059法登1,4,設立登記,財團法人彰化縣警化堂,059/10/07,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAJafAAF&bc=059&cd=%AA%6B%B5%6E++++++++++++++++&de=000001&ef=CHD&fg=1,output/details/CHD/AAF/AAAdkxAAHAAAJafAAF.json,AAAdkxAAHAAAJafAAF,CHD
臺灣彰化地方法院,059法登2,3,設立登記,財團法人彰化縣私立基督教嘉樂保育院,059/09/26,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAJafAAG&bc=059&cd=%AA%6B%B5%6E++++++++++++++++&de=000002&ef=CHD&fg=1,output/details/CHD/AAG/AAAdkxAAHAAAJafAAG.json,AAAdkxAAHAAAJafAAG,CHD
臺灣彰化地方法院,060法登1,5,設立登記,財團法人彰化縣武聖宮,060/04/29,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAJafAAH&bc=060&cd=%AA%6B%B5%6E++++++++++++++++&de=000001&ef=CHD&fg=1,output/details/CHD/AAH/AAAdkxAAHAAAJafAAH.json,AAAdkxAAHAAAJafAAH,CHD
臺灣彰化地方法院,060法登2,6,設立登記,財團法人彰化縣妙化堂,060/09/08,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAJarAAJ&bc=060&cd=%AA%6B%B5%6E++++++++++++++++&de=000002&ef=CHD&fg=1,output/details/CHD/AAJ/AAAdkxAAHAAAJarAAJ.json,AAAdkxAAHAAAJarAAJ,CHD
臺灣彰化地方法院,060法登3,7,設立登記,財團法人台灣省彰化縣基督教浸信宣道會,060/02/23,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAJarAAK&bc=060&cd=%AA%6B%B5%6E++++++++++++++++&de=000003&ef=CHD&fg=1,output/details/CHD/AAK/AAAdkxAAHAAAJarAAK.json,AAAdkxAAHAAAJarAAK,CHD
臺灣彰化地方法院,061法登1,8,設立登記,財團法人台灣省彰化縣私立女子文興女子高級中學,061/01/10,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAJarAAL&bc=061&cd=%AA%6B%B5%6E++++++++++++++++&de=000001&ef=CHD&fg=1,output/details/CHD/AAL/AAAdkxAAHAAAJarAAL.json,AAAdkxAAHAAAJarAAL,CHD
臺灣彰化地方法院,061法登2,9,設立登記,財團法人彰化縣私立鹿港泉郊救濟院,061/01/13,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAJarAAM&bc=061&cd=%AA%6B%B5%6E++++++++++++++++&de=000002&ef=CHD&fg=1,output/details/CHD/AAM/AAAdkxAAHAAAJarAAM.json,AAAdkxAAHAAAJarAAM,CHD
臺灣彰化地方法院,061法登3,7,變更登記,財團法人台灣省彰化縣基督教浸信宣道會,061/02/29,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAJarAAN&bc=061&cd=%AA%6B%B5%6E++++++++++++++++&de=000003&ef=CHD&fg=1,output/details/CHD/AAN/AAAdkxAAHAAAJarAAN.json,AAAdkxAAHAAAJarAAN,CHD
臺灣彰化地方法院,061法登4,10,設立登記,財團法人台灣省彰化縣私立正德高級工商職業學校,061/05/16,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAJavAAA&bc=061&cd=%AA%6B%B5%6E++++++++++++++++&de=000004&ef=CHD&fg=1,output/details/CHD/AAA/AAAdkxAAHAAAJavAAA.json,AAAdkxAAHAAAJavAAA,CHD
