法院名稱,登記案號,登記號數,案由,法人名稱,登記日期,類別,設立登記撤銷,設立登記註銷,明細,檔案位置
臺灣嘉義地方法院,043法4,2,設立登記,財團法人嘉義教會聚會所,043/04/15,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAL3BAAA&bc=043&cd=%AA%6B++++++++++++++++++&de=000004&ef=CYD&fg=1,output/details/CYD/AAA/AAAdkxAAHAAAL3BAAA.json
臺灣嘉義地方法院,044法6,3,設立登記,財團法人私立嘉義博愛救濟院,044/07/05,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAL29AAC&bc=044&cd=%AA%6B++++++++++++++++++&de=000006&ef=CYD&fg=1,output/details/CYD/AAC/AAAdkxAAHAAAL29AAC.json
臺灣嘉義地方法院,045法5,4,設立登記,財團法人台灣省私立嘉義救濟院,045/02/28,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAL29AAD&bc=045&cd=%AA%6B++++++++++++++++++&de=000005&ef=CYD&fg=1,output/details/CYD/AAD/AAAdkxAAHAAAL29AAD.json
臺灣嘉義地方法院,045法登7,5,設立登記,財團法人天主教會嘉義教區,045/05/03,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAL29AAE&bc=045&cd=%AA%6B%B5%6E++++++++++++++++&de=000007&ef=CYD&fg=1,output/details/CYD/AAE/AAAdkxAAHAAAL29AAE.json
臺灣嘉義地方法院,047法3,10,設立登記,財團法人台灣糖業公司蒜頭糖廠職工福利委員會,047/07/15,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAL3BAAB&bc=047&cd=%AA%6B++++++++++++++++++&de=000003&ef=CYD&fg=1,output/details/CYD/AAB/AAAdkxAAHAAAL3BAAB.json
臺灣嘉義地方法院,047法4,11,設立登記,財團法人台灣糖業股份有限公司南靖糖廠職工福利委員會,047/07/15,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAL2RAAC&bc=047&cd=%AA%6B++++++++++++++++++&de=000004&ef=CYD&fg=1,output/details/CYD/AAC/AAAdkxAAHAAAL2RAAC.json
臺灣嘉義地方法院,048法10,9,設立登記,財團法人台灣糖業公司大林糖廠職工福利委員會,048/06/04,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAL2RAAD&bc=048&cd=%AA%6B++++++++++++++++++&de=000010&ef=CYD&fg=1,output/details/CYD/AAD/AAAdkxAAHAAAL2RAAD.json
臺灣嘉義地方法院,049法5,13,設立登記,財團法人中國佛教會台灣省嘉義縣支會,049/03/04,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAL2RAAE&bc=049&cd=%AA%6B++++++++++++++++++&de=000005&ef=CYD&fg=1,output/details/CYD/AAE/AAAdkxAAHAAAL2RAAE.json
臺灣嘉義地方法院,049法10,14,設立登記,財團法人嘉義縣醫師公會,049/04/22,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAL2VAAA&bc=049&cd=%AA%6B++++++++++++++++++&de=000010&ef=CYD&fg=1,output/details/CYD/AAA/AAAdkxAAHAAAL2VAAA.json
臺灣嘉義地方法院,050法19,20,設立登記,財團法人基督教會臺灣宣道長老會總會,050/06/22,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAL2VAAB&bc=050&cd=%AA%6B++++++++++++++++++&de=000019&ef=CYD&fg=1,output/details/CYD/AAB/AAAdkxAAHAAAL2VAAB.json
