法院名稱,登記案號,登記號數,案由,法人名稱,登記日期,類別,設立登記撤銷,設立登記註銷,明細,檔案位置,ID,法院代碼
臺灣花蓮地方法院,044法1,13,設立登記,財團法人天主教會花蓮教區,044/10/24,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMZZAAI&bc=044&cd=%AA%6B++++++++++++++++++&de=000001&ef=HLD&fg=1,output/details/HLD/044/000001/AAAdkxAAHAAAMZZAAI.json,AAAdkxAAHAAAMZZAAI,HLD
臺灣花蓮地方法院,047法1,7,設立登記,財團法人台灣省花蓮縣基督教女教士差會,047/11/19,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMZVAAF&bc=047&cd=%AA%6B++++++++++++++++++&de=000001&ef=HLD&fg=1,output/details/HLD/047/000001/AAAdkxAAHAAAMZVAAF.json,AAAdkxAAHAAAMZVAAF,HLD
臺灣花蓮地方法院,050法1,1,設立登記,財團法人花蓮市教會聚會所,050/03/15,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMZVAAG&bc=050&cd=%AA%6B++++++++++++++++++&de=000001&ef=HLD&fg=1,output/details/HLD/050/000001/AAAdkxAAHAAAMZVAAG.json,AAAdkxAAHAAAMZVAAG,HLD
臺灣花蓮地方法院,051登1,18,設立登記,財團法人台灣省花蓮縣私立海星女子初級中學董事會,051/07/23,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMZZAAC&bc=051&cd=%B5%6E++++++++++++++++++&de=000001&ef=HLD&fg=1,output/details/HLD/051/000001/AAAdkxAAHAAAMZZAAC.json,AAAdkxAAHAAAMZZAAC,HLD
臺灣花蓮地方法院,051登2,10,設立登記,財團法人花蓮縣私立四維中學董事會,051/11/15,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMZZAAG&bc=051&cd=%B5%6E++++++++++++++++++&de=000002&ef=HLD&fg=1,output/details/HLD/051/000002/AAAdkxAAHAAAMZZAAG.json,AAAdkxAAHAAAMZZAAG,HLD
臺灣花蓮地方法院,054登1,6,設立登記,財團法人台灣基督長老教會玉山神學院,054/07/09,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMaqAAK&bc=054&cd=%B5%6E++++++++++++++++++&de=000001&ef=HLD&fg=1,output/details/HLD/054/000001/AAAdkxAAHAAAMaqAAK.json,AAAdkxAAHAAAMaqAAK,HLD
臺灣花蓮地方法院,055登1,4,設立登記,財團法人北部台灣基督長老教會東部中會,055/12/01,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMauAAK&bc=055&cd=%B5%6E++++++++++++++++++&de=000001&ef=HLD&fg=1,output/details/HLD/055/000001/AAAdkxAAHAAAMauAAK.json,AAAdkxAAHAAAMauAAK,HLD
臺灣花蓮地方法院,055登2,14,設立登記,財團法人台灣省花蓮縣私立國光商工職業學校,056/02/14,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMayAAC&bc=055&cd=%B5%6E++++++++++++++++++&de=000002&ef=HLD&fg=1,output/details/HLD/055/000002/AAAdkxAAHAAAMayAAC.json,AAAdkxAAHAAAMayAAC,HLD
臺灣花蓮地方法院,056登2,18,變更登記,財團法人台灣省花蓮縣私立海星女子中學董事會,056/05/05,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMayAAD&bc=056&cd=%B5%6E++++++++++++++++++&de=000002&ef=HLD&fg=1,output/details/HLD/056/000002/AAAdkxAAHAAAMayAAD.json,AAAdkxAAHAAAMayAAD,HLD
臺灣花蓮地方法院,057登5,1,變更登記,財團法人花蓮市教會聚會所,057/11/21,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMayAAH&bc=057&cd=%B5%6E++++++++++++++++++&de=000005&ef=HLD&fg=1,output/details/HLD/057/000005/AAAdkxAAHAAAMayAAH.json,AAAdkxAAHAAAMayAAH,HLD
臺灣花蓮地方法院,059登1,4,變更登記,財團法人北部台灣基督長老教會東部中會,059/11/02,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMayAAI&bc=059&cd=%B5%6E++++++++++++++++++&de=000001&ef=HLD&fg=1,output/details/HLD/059/000001/AAAdkxAAHAAAMayAAI.json,AAAdkxAAHAAAMayAAI,HLD
臺灣花蓮地方法院,060登6,31,設立登記,財團法人台灣基督教花蓮國語禮拜堂,060/07/22,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMa6AAF&bc=060&cd=%B5%6E++++++++++++++++++&de=000006&ef=HLD&fg=1,output/details/HLD/060/000006/AAAdkxAAHAAAMa6AAF.json,AAAdkxAAHAAAMa6AAF,HLD
臺灣花蓮地方法院,060登7,32,設立登記,財團法人花蓮縣營造會館,060/09/01,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMa6AAK&bc=060&cd=%B5%6E++++++++++++++++++&de=000007&ef=HLD&fg=1,output/details/HLD/060/000007/AAAdkxAAHAAAMa6AAK.json,AAAdkxAAHAAAMa6AAK,HLD
臺灣花蓮地方法院,060登8,33,設立登記,財團法人花蓮縣婦幼福利中心,060/11/23,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMa6AAM&bc=060&cd=%B5%6E++++++++++++++++++&de=000008&ef=HLD&fg=1,output/details/HLD/060/000008/AAAdkxAAHAAAMa6AAM.json,AAAdkxAAHAAAMa6AAM,HLD
臺灣花蓮地方法院,061登1,2,設立登記,財團法人台灣省基督教倫理堂玉里教會,061/01/19,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMbCAAB&bc=061&cd=%B5%6E++++++++++++++++++&de=000001&ef=HLD&fg=1,output/details/HLD/061/000001/AAAdkxAAHAAAMbCAAB.json,AAAdkxAAHAAAMbCAAB,HLD
臺灣花蓮地方法院,061登2,14,變更登記,財團法人台灣省花蓮縣私立國光高級商工職業學校,061/06/14,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMbCAAE&bc=061&cd=%B5%6E++++++++++++++++++&de=000002&ef=HLD&fg=1,output/details/HLD/061/000002/AAAdkxAAHAAAMbCAAE.json,AAAdkxAAHAAAMbCAAE,HLD
臺灣花蓮地方法院,061登3,34,設立登記,財團法人私立稚暉海事專科學校董事會,061/08/22,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMbjAAC&bc=061&cd=%B5%6E++++++++++++++++++&de=000003&ef=HLD&fg=1,output/details/HLD/061/000003/AAAdkxAAHAAAMbjAAC.json,AAAdkxAAHAAAMbjAAC,HLD
