法院名稱,登記案號,登記號數,案由,法人名稱,登記日期,類別,設立登記撤銷,設立登記註銷,明細,檔案位置,ID,法院代碼
福建金門地方法院,063法登1,1,設立登記,財團法人金門縣沙美中華基督教會,063/11/30,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAADupAAB&bc=063&cd=%AA%6B%B5%6E++++++++++++++++&de=000001&ef=KMD&fg=1,output/details/KMD/AAB/AAAdkxAAHAAADupAAB.json,AAAdkxAAHAAADupAAB,KMD
福建金門地方法院,068法登2,7,設立登記,財團法人福建省金門縣金城鎮東門里代天府,068/02/27,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAADupAAC&bc=068&cd=%AA%6B%B5%6E++++++++++++++++&de=000002&ef=KMD&fg=1,output/details/KMD/AAC/AAAdkxAAHAAADupAAC.json,AAAdkxAAHAAADupAAC,KMD
福建金門地方法院,074法登1,1,設立登記,財團法人山外基督教會,074/11/26,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAADupAAD&bc=074&cd=%AA%6B%B5%6E++++++++++++++++&de=000001&ef=KMD&fg=1,output/details/KMD/AAD/AAAdkxAAHAAADupAAD.json,AAAdkxAAHAAADupAAD,KMD
福建金門地方法院,077法登2,2,設立登記,財團法人金門吳氏基金會,077/03/23,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAADufAAC&bc=077&cd=%AA%6B%B5%6E++++++++++++++++&de=000002&ef=KMD&fg=1,output/details/KMD/AAC/AAAdkxAAHAAADufAAC.json,AAAdkxAAHAAADufAAC,KMD
福建金門地方法院,078法登3,4,設立登記,財團法人金門縣忠義廟基金會,078/10/27,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAADvkAAE&bc=078&cd=%AA%6B%B5%6E++++++++++++++++&de=000003&ef=KMD&fg=1,output/details/KMD/AAE/AAAdkxAAHAAADvkAAE.json,AAAdkxAAHAAADvkAAE,KMD
福建金門地方法院,078法登4,5,設立登記,財團法人福建更生保護會,078/11/10,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAADvoAAA&bc=078&cd=%AA%6B%B5%6E++++++++++++++++&de=000004&ef=KMD&fg=1,output/details/KMD/AAA/AAAdkxAAHAAADvoAAA.json,AAAdkxAAHAAADvoAAA,KMD
福建金門地方法院,079法登1,6,設立登記,社團法人福建省金門縣農會,079/05/17,社團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAADvoAAB&bc=079&cd=%AA%6B%B5%6E++++++++++++++++&de=000001&ef=KMD&fg=1,output/details/KMD/AAB/AAAdkxAAHAAADvoAAB.json,AAAdkxAAHAAADvoAAB,KMD
福建金門地方法院,079法登5,5,變更登記,財團法人福建更生保護會,079/06/09,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAADuUAAC&bc=079&cd=%AA%6B%B5%6E++++++++++++++++&de=000005&ef=KMD&fg=1,output/details/KMD/AAC/AAAdkxAAHAAADuUAAC.json,AAAdkxAAHAAADuUAAC,KMD
福建金門地方法院,079法登6,,設立登記,財團法人金門縣退除役軍人協會獎學基金會,079/11/29,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAADuXAAD&bc=079&cd=%AA%6B%B5%6E++++++++++++++++&de=000006&ef=KMD&fg=1,output/details/KMD/AAD/AAAdkxAAHAAADuXAAD.json,AAAdkxAAHAAADuXAAD,KMD
福建金門地方法院,079法登7,8,設立登記,財團法人金門縣薛氏基金會,079/11/23,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAADuYAAA&bc=079&cd=%AA%6B%B5%6E++++++++++++++++&de=000007&ef=KMD&fg=1,output/details/KMD/AAA/AAAdkxAAHAAADuYAAA.json,AAAdkxAAHAAADuYAAA,KMD
福建金門地方法院,080法登1,10,設立登記,財團法人歐陽氏基金會,080/05/28,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAADuYAAB&bc=080&cd=%AA%6B%B5%6E++++++++++++++++&de=000001&ef=KMD&fg=1,output/details/KMD/AAB/AAAdkxAAHAAADuYAAB.json,AAAdkxAAHAAADuYAAB,KMD
福建金門地方法院,080法登3,12,設立登記,社團法人上庫保生大帝廟慈善會,080/11/02,社團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAADuYAAC&bc=080&cd=%AA%6B%B5%6E++++++++++++++++&de=000003&ef=KMD&fg=1,output/details/KMD/AAC/AAAdkxAAHAAADuYAAC.json,AAAdkxAAHAAADuYAAC,KMD
福建金門地方法院,080法登4,13,設立登記,財團法人金門基督教會,080/11/29,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAADumAAJ&bc=080&cd=%AA%6B%B5%6E++++++++++++++++&de=000004&ef=KMD&fg=1,output/details/KMD/AAJ/AAAdkxAAHAAADumAAJ.json,AAAdkxAAHAAADumAAJ,KMD
福建金門地方法院,081法登2,,設立登記,社團法人金門縣山外村陳氏宗親會,082/02/22,社團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAADu3AAJ&bc=081&cd=%AA%6B%B5%6E++++++++++++++++&de=000002&ef=KMD&fg=1,output/details/KMD/AAJ/AAAdkxAAHAAADu3AAJ.json,AAAdkxAAHAAADu3AAJ,KMD
福建金門地方法院,081法登50,14,設立登記,財團法人金門縣汶浦黃氐宗親基金會,081/04/24,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAADu7AAA&bc=081&cd=%AA%6B%B5%6E++++++++++++++++&de=000050&ef=KMD&fg=1,output/details/KMD/AAA/AAAdkxAAHAAADu7AAA.json,AAAdkxAAHAAADu7AAA,KMD
福建金門地方法院,082法登2,16,設立登記,財團法人忠孝新村文教基金會,082/03/10,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAADu7AAB&bc=082&cd=%AA%6B%B5%6E++++++++++++++++&de=000002&ef=KMD&fg=1,output/details/KMD/AAB/AAAdkxAAHAAADu7AAB.json,AAAdkxAAHAAADu7AAB,KMD
福建金門地方法院,082法登3,19,設立登記,財團法人金門縣瓊林蔡氏十七郎公裔孫基金會,082/05/08,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAADuSAAD&bc=082&cd=%AA%6B%B5%6E++++++++++++++++&de=000003&ef=KMD&fg=1,output/details/KMD/AAD/AAAdkxAAHAAADuSAAD.json,AAAdkxAAHAAADuSAAD,KMD
福建金門地方法院,082法登5,17,設立登記,財團法人金門縣朱莊嚴氏基金會,082/04/23,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAADuYAAE&bc=082&cd=%AA%6B%B5%6E++++++++++++++++&de=000005&ef=KMD&fg=1,output/details/KMD/AAE/AAAdkxAAHAAADuYAAE.json,AAAdkxAAHAAADuYAAE,KMD
福建金門地方法院,082法登6,21,設立登記,財團法人福建省金門縣佛教弘法基金會,082/07/16,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAADuVAAA&bc=082&cd=%AA%6B%B5%6E++++++++++++++++&de=000006&ef=KMD&fg=1,output/details/KMD/AAA/AAAdkxAAHAAADuVAAA.json,AAAdkxAAHAAADuVAAA,KMD
福建金門地方法院,082法登7,20,設立登記,財團法人金門縣史蹟維護基金會,082/06/23,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAADuVAAB&bc=082&cd=%AA%6B%B5%6E++++++++++++++++&de=000007&ef=KMD&fg=1,output/details/KMD/AAB/AAAdkxAAHAAADuVAAB.json,AAAdkxAAHAAADuVAAB,KMD
福建金門地方法院,082法登9,25,設立登記,社團法人金門縣翁氏宗親會,082/09/07,社團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAADuVAAC&bc=082&cd=%AA%6B%B5%6E++++++++++++++++&de=000009&ef=KMD&fg=1,output/details/KMD/AAC/AAAdkxAAHAAADuVAAC.json,AAAdkxAAHAAADuVAAC,KMD
福建金門地方法院,082法登10,12,變更登記,財團法人金門縣忠義廟基金會,082/08/18,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAADuiAAE&bc=082&cd=%AA%6B%B5%6E++++++++++++++++&de=000010&ef=KMD&fg=1,output/details/KMD/AAE/AAAdkxAAHAAADuiAAE.json,AAAdkxAAHAAADuiAAE,KMD
福建金門地方法院,082法登11,24,設立登記,財團法人金門縣成功陳氏宗親基金會,082/08/31,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAADuiAAF&bc=082&cd=%AA%6B%B5%6E++++++++++++++++&de=000011&ef=KMD&fg=1,output/details/KMD/AAF/AAAdkxAAHAAADuiAAF.json,AAAdkxAAHAAADuiAAF,KMD
福建金門地方法院,082法登12,23,設立登記,財團法人福建省金門縣濟世慈善基金會,082/08/05,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAADvoAAD&bc=082&cd=%AA%6B%B5%6E++++++++++++++++&de=000012&ef=KMD&fg=1,output/details/KMD/AAD/AAAdkxAAHAAADvoAAD.json,AAAdkxAAHAAADvoAAD,KMD
福建金門地方法院,082法登13,22,設立登記,財團法人金門縣前水頭金水寺公益慈善基金會,082/08/23,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAADvoAAE&bc=082&cd=%AA%6B%B5%6E++++++++++++++++&de=000013&ef=KMD&fg=1,output/details/KMD/AAE/AAAdkxAAHAAADvoAAE.json,AAAdkxAAHAAADvoAAE,KMD
福建金門地方法院,082法登14,26,設立登記,社團法人金門縣烈嶼鄉青岐洪氏家廟慈善會,082/12/06,社團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAADvwAAA&bc=082&cd=%AA%6B%B5%6E++++++++++++++++&de=000014&ef=KMD&fg=1,output/details/KMD/AAA/AAAdkxAAHAAADvwAAA.json,AAAdkxAAHAAADvwAAA,KMD
福建金門地方法院,082法登16,27,設立登記,社團法人金門縣古寧頭南山李張氏宗親會,082/12/31,社團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAADu5AAD&bc=082&cd=%AA%6B%B5%6E++++++++++++++++&de=000016&ef=KMD&fg=1,output/details/KMD/AAD/AAAdkxAAHAAADu5AAD.json,AAAdkxAAHAAADu5AAD,KMD
福建金門地方法院,082法登17,28,設立登記,財團法人金門縣董氏宗親公益基金會,083/01/20,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAADu5AAE&bc=082&cd=%AA%6B%B5%6E++++++++++++++++&de=000017&ef=KMD&fg=1,output/details/KMD/AAE/AAAdkxAAHAAADu5AAE.json,AAAdkxAAHAAADu5AAE,KMD
福建金門地方法院,082法登18,29,設立登記,財團法人金門縣山西德宗李氏基金會,083/03/31,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAADvFAAE&bc=082&cd=%AA%6B%B5%6E++++++++++++++++&de=000018&ef=KMD&fg=1,output/details/KMD/AAE/AAAdkxAAHAAADvFAAE.json,AAAdkxAAHAAADvFAAE,KMD
福建金門地方法院,082法登19,30,設立登記,社團法人金門縣舊金城古地城隍慈善會,083/04/30,社團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAADuOAAA&bc=082&cd=%AA%6B%B5%6E++++++++++++++++&de=000019&ef=KMD&fg=1,output/details/KMD/AAA/AAAdkxAAHAAADuOAAA.json,AAAdkxAAHAAADuOAAA,KMD
福建金門地方法院,083法登1,16,變更登記,財團法人忠孝新偖文教基金會,083/01/18,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAADuOAAB&bc=083&cd=%AA%6B%B5%6E++++++++++++++++&de=000001&ef=KMD&fg=1,output/details/KMD/AAB/AAAdkxAAHAAADuOAAB.json,AAAdkxAAHAAADuOAAB,KMD
福建金門地方法院,083法登2,10,變更登記,財團法人金門縣歐陽氏基金會,083/05/05,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAADuOAAC&bc=083&cd=%AA%6B%B5%6E++++++++++++++++&de=000002&ef=KMD&fg=1,output/details/KMD/AAC/AAAdkxAAHAAADuOAAC.json,AAAdkxAAHAAADuOAAC,KMD
福建金門地方法院,083法登3,8,變更登記,財團法人金門縣薛氏基金會,083/05/26,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAADukAAG&bc=083&cd=%AA%6B%B5%6E++++++++++++++++&de=000003&ef=KMD&fg=1,output/details/KMD/AAG/AAAdkxAAHAAADukAAG.json,AAAdkxAAHAAADukAAG,KMD
福建金門地方法院,083法登4,31,設立登記,財團法人金門縣東沙村王氏宗親基金會,083/06/08,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAADuZAAA&bc=083&cd=%AA%6B%B5%6E++++++++++++++++&de=000004&ef=KMD&fg=1,output/details/KMD/AAA/AAAdkxAAHAAADuZAAA.json,AAAdkxAAHAAADuZAAA,KMD
福建金門地方法院,083法登5,32,設立登記,財團法人汶浦黃氏特授汝州司馬雄公紀念基金會,083/09/06,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAADuZAAB&bc=083&cd=%AA%6B%B5%6E++++++++++++++++&de=000005&ef=KMD&fg=1,output/details/KMD/AAB/AAAdkxAAHAAADuZAAB.json,AAAdkxAAHAAADuZAAB,KMD
福建金門地方法院,083法登6,6,變更登記,社團法人福建省金門縣農會,083/08/29,社團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAADuZAAC&bc=083&cd=%AA%6B%B5%6E++++++++++++++++&de=000006&ef=KMD&fg=1,output/details/KMD/AAC/AAAdkxAAHAAADuZAAC.json,AAAdkxAAHAAADuZAAC,KMD
福建金門地方法院,083法登7,33,設立登記,社團法人金門縣官澳楊氏宗親會,083/09/06,社團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAADuZAAD&bc=083&cd=%AA%6B%B5%6E++++++++++++++++&de=000007&ef=KMD&fg=1,output/details/KMD/AAD/AAAdkxAAHAAADuZAAD.json,AAAdkxAAHAAADuZAAD,KMD
福建金門地方法院,083法登8,34,設立登記,財團法人金門縣金沙鎮東西山前李氏鄉親基金會,083/09/14,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAADuZAAE&bc=083&cd=%AA%6B%B5%6E++++++++++++++++&de=000008&ef=KMD&fg=1,output/details/KMD/AAE/AAAdkxAAHAAADuZAAE.json,AAAdkxAAHAAADuZAAE,KMD
福建金門地方法院,083法登10,36,設立登記,社團法人福建省金門縣退除役軍人協會,084/01/14,社團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAADu9AAA&bc=083&cd=%AA%6B%B5%6E++++++++++++++++&de=000010&ef=KMD&fg=1,output/details/KMD/AAA/AAAdkxAAHAAADu9AAA.json,AAAdkxAAHAAADu9AAA,KMD
福建金門地方法院,084法登1,39,設立登記,社團法人金門縣西浦頭光前廟慈善會,084/05/23,社團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAADu9AAB&bc=084&cd=%AA%6B%B5%6E++++++++++++++++&de=000001&ef=KMD&fg=1,output/details/KMD/AAB/AAAdkxAAHAAADu9AAB.json,AAAdkxAAHAAADu9AAB,KMD
福建金門地方法院,084法登2,5,變更登記,財團法人福建更生保護會,084/05/24,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAADu9AAC&bc=084&cd=%AA%6B%B5%6E++++++++++++++++&de=000002&ef=KMD&fg=1,output/details/KMD/AAC/AAAdkxAAHAAADu9AAC.json,AAAdkxAAHAAADu9AAC,KMD
福建金門地方法院,084法登4,37,設立登記,社團法人金門縣金湖鎮湖前陳氏宗親會,084/04/25,社團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAADu9AAE&bc=084&cd=%AA%6B%B5%6E++++++++++++++++&de=000004&ef=KMD&fg=1,output/details/KMD/AAE/AAAdkxAAHAAADu9AAE.json,AAAdkxAAHAAADu9AAE,KMD
