法院名稱,登記案號,登記號數,案由,法人名稱,登記日期,類別,設立登記撤銷,設立登記註銷,明細,檔案位置,ID,法院代碼
臺灣苗栗地方法院,086法登社4,4,設立登記,社團法人苗栗縣救難協會,086/06/14,社團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAJ%2BWAAB&bc=086&cd=%AA%6B%B5%6E%AA%C0++++++++++++++&de=000004&ef=MLD&fg=2,output/details/MLD/AAB/AAAdkxAAHAAAJ%2BWAAB.json,AAAdkxAAHAAAJ%2BWAAB,MLD
臺灣苗栗地方法院,086法登財2,2,設立登記,財團法人苗栗縣私立新苗智能發展中心,086/05/13,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAJ%2BUAAE&bc=086&cd=%AA%6B%B5%6E%B0%5D++++++++++++++&de=000002&ef=MLD&fg=1,output/details/MLD/AAE/AAAdkxAAHAAAJ%2BUAAE.json,AAAdkxAAHAAAJ%2BUAAE,MLD
臺灣苗栗地方法院,086法登財3,3,設立登記,財團法人廖志坤文教基金會,086/05/20,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAJ%2BYAAA&bc=086&cd=%AA%6B%B5%6E%B0%5D++++++++++++++&de=000003&ef=MLD&fg=1,output/details/MLD/AAA/AAAdkxAAHAAAJ%2BYAAA.json,AAAdkxAAHAAAJ%2BYAAA,MLD
臺灣苗栗地方法院,086法登財13,13,設立登記,財團法人台灣省苗栗縣私立中興高級商工職業學校,086/11/15,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAJ%2BWAAA&bc=086&cd=%AA%6B%B5%6E%B0%5D++++++++++++++&de=000013&ef=MLD&fg=1,output/details/MLD/AAA/AAAdkxAAHAAAJ%2BWAAA.json,AAAdkxAAHAAAJ%2BWAAA,MLD
臺灣苗栗地方法院,086法登財14,10,設立登記,財團法人天生文教基金會,086/10/23,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAJ%2BVAAB&bc=086&cd=%AA%6B%B5%6E%B0%5D++++++++++++++&de=000014&ef=MLD&fg=1,output/details/MLD/AAB/AAAdkxAAHAAAJ%2BVAAB.json,AAAdkxAAHAAAJ%2BVAAB,MLD
臺灣苗栗地方法院,086法登財20,14,設立登記,財團法人苗栗縣惠勝王萬生紀念公益基金會,086/12/11,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAJ%2BRAAD&bc=086&cd=%AA%6B%B5%6E%B0%5D++++++++++++++&de=000020&ef=MLD&fg=1,output/details/MLD/AAD/AAAdkxAAHAAAJ%2BRAAD.json,AAAdkxAAHAAAJ%2BRAAD,MLD
臺灣苗栗地方法院,087法登他1,13,變更登記,財團法人台灣省苗栗縣私立中興高級商工職業學校,087/06/03,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAJ%2BUAAA&bc=087&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000001&ef=MLD&fg=1,output/details/MLD/AAA/AAAdkxAAHAAAJ%2BUAAA.json,AAAdkxAAHAAAJ%2BUAAA,MLD
臺灣苗栗地方法院,087法登他2,23,變更登記,財團法人臺灣省苗栗縣苗栗市福星山淨覺院,087/07/16,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAJ%2BjAAB&bc=087&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000002&ef=MLD&fg=1,output/details/MLD/AAB/AAAdkxAAHAAAJ%2BjAAB.json,AAAdkxAAHAAAJ%2BjAAB,MLD
臺灣苗栗地方法院,087法登他3,15,變更登記,財團法人苗栗縣私立龍德高級家事商業職業學校,087/11/02,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAJ%2BQAAC&bc=087&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000003&ef=MLD&fg=1,output/details/MLD/AAC/AAAdkxAAHAAAJ%2BQAAC.json,AAAdkxAAHAAAJ%2BQAAC,MLD
臺灣苗栗地方法院,087法登他4,8,變更登記,社團法人苗栗縣脊髓損傷者協會,087/11/10,社團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAJ%2BQAAD&bc=087&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000004&ef=MLD&fg=2,output/details/MLD/AAD/AAAdkxAAHAAAJ%2BQAAD.json,AAAdkxAAHAAAJ%2BQAAD,MLD
臺灣苗栗地方法院,087法登他5,12,變更登記,財團法人台灣省苗栗縣私立仁德高級醫事職業學校,087/12/18,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAJ%2BjAAA&bc=087&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000005&ef=MLD&fg=1,output/details/MLD/AAA/AAAdkxAAHAAAJ%2BjAAA.json,AAAdkxAAHAAAJ%2BjAAA,MLD
臺灣苗栗地方法院,087法登社4,10,設立登記,社團法人苗栗縣居家老人福利協會,087/05/25,社團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAJ%2BhAAB&bc=087&cd=%AA%6B%B5%6E%AA%C0++++++++++++++&de=000004&ef=MLD&fg=2,output/details/MLD/AAB/AAAdkxAAHAAAJ%2BhAAB.json,AAAdkxAAHAAAJ%2BhAAB,MLD
臺灣苗栗地方法院,087法登社5,11,設立登記,社團法人苗栗縣生命線協會,087/06/08,社團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAJ%2BoAAC&bc=087&cd=%AA%6B%B5%6E%AA%C0++++++++++++++&de=000005&ef=MLD&fg=2,output/details/MLD/AAC/AAAdkxAAHAAAJ%2BoAAC.json,AAAdkxAAHAAAJ%2BoAAC,MLD
臺灣苗栗地方法院,087法登社6,13,設立登記,社團法人苗栗縣聾啞福利協進會,087/09/10,社團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAJ%2BZAAD&bc=087&cd=%AA%6B%B5%6E%AA%C0++++++++++++++&de=000006&ef=MLD&fg=2,output/details/MLD/AAD/AAAdkxAAHAAAJ%2BZAAD.json,AAAdkxAAHAAAJ%2BZAAD,MLD
臺灣苗栗地方法院,087法登社7,14,設立登記,社團法人苗栗縣大慈功德會,087/11/05,社團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAJ%2BhAAA&bc=087&cd=%AA%6B%B5%6E%AA%C0++++++++++++++&de=000007&ef=MLD&fg=2,output/details/MLD/AAA/AAAdkxAAHAAAJ%2BhAAA.json,AAAdkxAAHAAAJ%2BhAAA,MLD
臺灣苗栗地方法院,087法登財7,22,設立登記,財團法人臺灣省苗栗縣私立蘭平托兒、安養托老所,087/05/07,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAJ%2BXAAC&bc=087&cd=%AA%6B%B5%6E%B0%5D++++++++++++++&de=000007&ef=MLD&fg=1,output/details/MLD/AAC/AAAdkxAAHAAAJ%2BXAAC.json,AAAdkxAAHAAAJ%2BXAAC,MLD
臺灣苗栗地方法院,088法登他1,13,變更登記,財團法人台灣省苗栗縣私立中興高級商工職業學校,088/01/18,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAJ%2FDAAC&bc=088&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000001&ef=MLD&fg=1,output/details/MLD/AAC/AAAdkxAAHAAAJ%2FDAAC.json,AAAdkxAAHAAAJ%2FDAAC,MLD
臺灣苗栗地方法院,088法登他2,18,變更登記,財團法人王利夫文教基金會,088/02/09,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAJ%2FDAAD&bc=088&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000002&ef=MLD&fg=1,output/details/MLD/AAD/AAAdkxAAHAAAJ%2FDAAD.json,AAAdkxAAHAAAJ%2FDAAD,MLD
臺灣苗栗地方法院,088法登他3,21,變更登記,財團法人臺灣省苗栗縣私立君毅高級中學,088/03/30,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAJ%2FDAAE&bc=088&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000003&ef=MLD&fg=1,output/details/MLD/AAE/AAAdkxAAHAAAJ%2FDAAE.json,AAAdkxAAHAAAJ%2FDAAE,MLD
臺灣苗栗地方法院,088法登他4,16,變更登記,財團法人台灣省苗栗縣私立育民高級工業家事職業學校,088/05/18,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAJ%2FGAAB&bc=088&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000004&ef=MLD&fg=1,output/details/MLD/AAB/AAAdkxAAHAAAJ%2FGAAB.json,AAAdkxAAHAAAJ%2FGAAB,MLD
臺灣苗栗地方法院,088法登他5,19,變更登記,財團法人臺灣省苗栗縣私立建臺高級中學,088/04/08,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAJ%2FCAAC&bc=088&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000005&ef=MLD&fg=1,output/details/MLD/AAC/AAAdkxAAHAAAJ%2FCAAC.json,AAAdkxAAHAAAJ%2FCAAC,MLD
臺灣苗栗地方法院,088法登他6,1,變更登記,社團法人苗栗縣身心障礙福利協進會,088/07/09,社團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAJ%2FCAAD&bc=088&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000006&ef=MLD&fg=2,output/details/MLD/AAD/AAAdkxAAHAAAJ%2FCAAD.json,AAAdkxAAHAAAJ%2FCAAD,MLD
臺灣苗栗地方法院,088法登他7,4,變更登記,財團法人苗栗縣後備軍人獎學基金會,088/05/06,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAJ%2FGAAA&bc=088&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000007&ef=MLD&fg=1,output/details/MLD/AAA/AAAdkxAAHAAAJ%2FGAAA.json,AAAdkxAAHAAAJ%2FGAAA,MLD
臺灣苗栗地方法院,088法登他8,24,變更登記,財團法人竹信社會福利基金會,088/05/06,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAKADAAB&bc=088&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000008&ef=MLD&fg=1,output/details/MLD/AAB/AAAdkxAAHAAAKADAAB.json,AAAdkxAAHAAAKADAAB,MLD
臺灣苗栗地方法院,088法登他9,4,變更登記,社團法人苗栗縣救難協會,088/07/13,社團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAJ%2F7AAC&bc=088&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000009&ef=MLD&fg=2,output/details/MLD/AAC/AAAdkxAAHAAAJ%2F7AAC.json,AAAdkxAAHAAAJ%2F7AAC,MLD
臺灣苗栗地方法院,088法登他10,6,變更登記,財團法人黃秋茂私立秋茂園社會福利慈善事業基金會,088/07/13,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAJ%2F7AAD&bc=088&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000010&ef=MLD&fg=1,output/details/MLD/AAD/AAAdkxAAHAAAJ%2F7AAD.json,AAAdkxAAHAAAJ%2F7AAD,MLD
臺灣苗栗地方法院,088法登他12,6,變更登記,社團法人苗栗縣肢體傷殘自強協會,088/07/22,社團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAKADAAA&bc=088&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000012&ef=MLD&fg=2,output/details/MLD/AAA/AAAdkxAAHAAAKADAAA.json,AAAdkxAAHAAAKADAAA,MLD
臺灣苗栗地方法院,088法登他13,12,變更登記,財團法人仁德醫護管理專科學校,089/02/18,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAJ%2FzAAC&bc=088&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000013&ef=MLD&fg=1,output/details/MLD/AAC/AAAdkxAAHAAAJ%2FzAAC.json,AAAdkxAAHAAAJ%2FzAAC,MLD
