法院名稱,登記案號,登記號數,案由,法人名稱,登記日期,類別,設立登記撤銷,設立登記註銷,明細,檔案位置
臺灣南投地方法院,049法登115,26,設立登記,財團法人南投縣私立南投仁愛之家,049/01/13,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAALTNAAE&bc=049&cd=%AA%6B%B5%6E++++++++++++++++&de=000115&ef=NTD&fg=1,output/details/NTD/AAE/AAAdkxAAHAAALTNAAE
臺灣南投地方法院,050法登121,27,設立登記,財團法人南投縣中興新村教會聚會所,050/03/01,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAALTNAAF&bc=050&cd=%AA%6B%B5%6E++++++++++++++++&de=000121&ef=NTD&fg=1,output/details/NTD/AAF/AAAdkxAAHAAALTNAAF
臺灣南投地方法院,057法登174,7,設立登記,財團法人台灣省南投縣中興佛社,083/04/17,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAALTNAAG&bc=057&cd=%AA%6B%B5%6E++++++++++++++++&de=000174&ef=NTD&fg=1,output/details/NTD/AAG/AAAdkxAAHAAALTNAAG
臺灣南投地方法院,057法登176,41,設立登記,財團法人台灣省日月潭文武廟,057/08/23,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAALT1AAA&bc=057&cd=%AA%6B%B5%6E++++++++++++++++&de=000176&ef=NTD&fg=1,output/details/NTD/AAA/AAAdkxAAHAAALT1AAA
臺灣南投地方法院,057法登179,3,設立登記,財團法人草屯惠德宮,083/11/21,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAALSiAAG&bc=057&cd=%AA%6B%B5%6E++++++++++++++++&de=000179&ef=NTD&fg=1,output/details/NTD/AAG/AAAdkxAAHAAALSiAAG
臺灣南投地方法院,057法登180,13,設立登記,財團法人臺灣省埔里鎮醒靈寺,058/04/14,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAALSmAAA&bc=057&cd=%AA%6B%B5%6E++++++++++++++++&de=000180&ef=NTD&fg=1,output/details/NTD/AAA/AAAdkxAAHAAALSmAAA
臺灣南投地方法院,059法登193,43,設立登記,財團法人台灣省草屯太清宮,059/12/18,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAALSmAAB&bc=059&cd=%AA%6B%B5%6E++++++++++++++++&de=000193&ef=NTD&fg=1,output/details/NTD/AAB/AAAdkxAAHAAALSmAAB
臺灣南投地方法院,060法登202,10,設立登記,財團法人私立南開工商專科學校,060/08/25,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAALSmAAC&bc=060&cd=%AA%6B%B5%6E++++++++++++++++&de=000202&ef=NTD&fg=1,output/details/NTD/AAC/AAAdkxAAHAAALSmAAC
臺灣南投地方法院,065法登48,25,設立登記,財團法人臺灣省南投縣私立同德家事商業職業學校董事會,065/10/07,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAALSuAAI&bc=065&cd=%AA%6B%B5%6E++++++++++++++++&de=000048&ef=NTD&fg=1,output/details/NTD/AAI/AAAdkxAAHAAALSuAAI
臺灣南投地方法院,070法登304,28,設立登記,財團法人台灣省私立光明仁愛之家,070/02/19,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAALTqAAA&bc=070&cd=%AA%6B%B5%6E++++++++++++++++&de=000304&ef=NTD&fg=1,output/details/NTD/AAA/AAAdkxAAHAAALTqAAA
臺灣南投地方法院,071法登311,40,設立登記,財團法人中華基督教中興新村浸信會,071/08/23,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAALTqAAB&bc=071&cd=%AA%6B%B5%6E++++++++++++++++&de=000311&ef=NTD&fg=1,output/details/NTD/AAB/AAAdkxAAHAAALTqAAB
臺灣南投地方法院,074法登337,14,設立登記,財團法人埔里基督教醫院,074/07/08,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAALTqAAC&bc=074&cd=%AA%6B%B5%6E++++++++++++++++&de=000337&ef=NTD&fg=1,output/details/NTD/AAC/AAAdkxAAHAAALTqAAC
臺灣南投地方法院,077法登387,44,設立登記,社團法人南投縣濟陽柯蔡姓宗親會,077/12/26,社團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAALTqAAD&bc=077&cd=%AA%6B%B5%6E++++++++++++++++&de=000387&ef=NTD&fg=1,output/details/NTD/AAD/AAAdkxAAHAAALTqAAD
臺灣南投地方法院,077法登393,34,設立登記,財團法人先總統蔣公日月潭行館及慈恩塔管理會,077/10/20,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAALT7AAA&bc=077&cd=%AA%6B%B5%6E++++++++++++++++&de=000393&ef=NTD&fg=1,output/details/NTD/AAA/AAAdkxAAHAAALT7AAA
臺灣南投地方法院,078法登74,,設立登記,社團法人埔里教會聚會所,078/10/05,社團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAALT7AAB&bc=078&cd=%AA%6B%B5%6E++++++++++++++++&de=000074&ef=NTD&fg=1,output/details/NTD/AAB/AAAdkxAAHAAALT7AAB
臺灣南投地方法院,078法登93,24,設立登記,財團法人光慧文教基金會,079/03/06,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAALT7AAC&bc=078&cd=%AA%6B%B5%6E++++++++++++++++&de=000093&ef=NTD&fg=1,output/details/NTD/AAC/AAAdkxAAHAAALT7AAC
臺灣南投地方法院,078法登456,4,設立登記,財團法人悲廣文教基金會,082/12/22,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAALTgAAA&bc=078&cd=%AA%6B%B5%6E++++++++++++++++&de=000456&ef=NTD&fg=1,output/details/NTD/AAA/AAAdkxAAHAAALTgAAA
臺灣南投地方法院,080法登441,31,設立登記,財團法人南投縣私立傑瑞社會福利基金會,080/01/05,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAALSdAAD&bc=080&cd=%AA%6B%B5%6E++++++++++++++++&de=000441&ef=NTD&fg=1,output/details/NTD/AAD/AAAdkxAAHAAALSdAAD
臺灣南投地方法院,080法登450,11,設立登記,財團法人中台文教基金會,084/06/14,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAALSdAAE&bc=080&cd=%AA%6B%B5%6E++++++++++++++++&de=000450&ef=NTD&fg=1,output/details/NTD/AAE/AAAdkxAAHAAALSdAAE
臺灣南投地方法院,080法登467,37,設立登記,財團法人佛香書苑文教基金會,087/07/27,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAALSdAAF&bc=080&cd=%AA%6B%B5%6E++++++++++++++++&de=000467&ef=NTD&fg=1,output/details/NTD/AAF/AAAdkxAAHAAALSdAAF
臺灣南投地方法院,080法登471,30,設立登記,財團法人白毫文教基金會,080/10/30,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAALSeAAA&bc=080&cd=%AA%6B%B5%6E++++++++++++++++&de=000471&ef=NTD&fg=1,output/details/NTD/AAA/AAAdkxAAHAAALSeAAA
臺灣南投地方法院,081法登514,39,設立登記,財團法人新南投發展基金會,081/09/04,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAALSbAAD&bc=081&cd=%AA%6B%B5%6E++++++++++++++++&de=000514&ef=NTD&fg=1,output/details/NTD/AAD/AAAdkxAAHAAALSbAAD
臺灣南投地方法院,082法登525,1,設立登記,財團法人南投縣私立憫惠教養院,082/03/25,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAALSbAAE&bc=082&cd=%AA%6B%B5%6E++++++++++++++++&de=000525&ef=NTD&fg=1,output/details/NTD/AAE/AAAdkxAAHAAALSbAAE
臺灣南投地方法院,082法登530,35,設立登記,財團法人南投縣釋迦文物文教基金會,082/04/24,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAALSbAAF&bc=082&cd=%AA%6B%B5%6E++++++++++++++++&de=000530&ef=NTD&fg=1,output/details/NTD/AAF/AAAdkxAAHAAALSbAAF
