法院名稱,登記案號,登記號數,案由,法人名稱,登記日期,類別,設立登記撤銷,設立登記註銷,明細,檔案位置,ID,法院代碼
臺灣新北地方法院,039法登9,96,設立登記,財團法人台北縣樹林健民協會,039/09/27,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAHxwAAC&bc=039&cd=%AA%6B%B5%6E++++++++++++++++&de=000009&ef=PCD&fg=1,output/details/PCD/039/000009/AAAdkxAAHAAAHxwAAC.json,AAAdkxAAHAAAHxwAAC,PCD
臺灣新北地方法院,042法登22,350,設立登記,財團法人台北縣三峽長福巖清水祖師公,042/05/06,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAHxwAAD&bc=042&cd=%AA%6B%B5%6E++++++++++++++++&de=000022&ef=PCD&fg=1,output/details/PCD/042/000022/AAAdkxAAHAAAHxwAAD.json,AAAdkxAAHAAAHxwAAD,PCD
臺灣新北地方法院,045法登36,246,設立登記,財團法人基督教台灣福音會,045/02/02,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAHx0AAA&bc=045&cd=%AA%6B%B5%6E++++++++++++++++&de=000036&ef=PCD&fg=1,output/details/PCD/045/000036/AAAdkxAAHAAAHx0AAA.json,AAAdkxAAHAAAHx0AAA,PCD
臺灣新北地方法院,046法登96,529,設立登記,財團法人臺灣省臺中市天主教主顧修女會,046/01/08,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAHx0AAB&bc=046&cd=%AA%6B%B5%6E++++++++++++++++&de=000096&ef=PCD&fg=1,output/details/PCD/046/000096/AAAdkxAAHAAAHx0AAB.json,AAAdkxAAHAAAHx0AAB,PCD
臺灣新北地方法院,048法登9,96,變更登記,財團法人台北縣樹林健民協會,048/11/03,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAHx0AAC&bc=048&cd=%AA%6B%B5%6E++++++++++++++++&de=000009&ef=PCD&fg=1,output/details/PCD/048/000009/AAAdkxAAHAAAHx0AAC.json,AAAdkxAAHAAAHx0AAC,PCD
臺灣新北地方法院,048法登86,130,設立登記,財團法人台灣省台北縣天主教奧斯定修女會,048/08/18,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAHxtAAC&bc=048&cd=%AA%6B%B5%6E++++++++++++++++&de=000086&ef=PCD&fg=1,output/details/PCD/048/000086/AAAdkxAAHAAAHxtAAC.json,AAAdkxAAHAAAHxtAAC,PCD
臺灣新北地方法院,048法登88,142,設立登記,財團法人台灣省台北縣竹林山觀音寺,048/09/30,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAHxtAAD&bc=048&cd=%AA%6B%B5%6E++++++++++++++++&de=000088&ef=PCD&fg=1,output/details/PCD/048/000088/AAAdkxAAHAAAHxtAAD.json,AAAdkxAAHAAAHxtAAD,PCD
臺灣新北地方法院,048法登623,623,設立登記,財團法人台北縣三重鎮三光基督教長老會,048/02/26,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAHvYAAJ&bc=048&cd=%AA%6B%B5%6E++++++++++++++++&de=000623&ef=PCD&fg=1,output/details/PCD/048/000623/AAAdkxAAHAAAHvYAAJ.json,AAAdkxAAHAAAHvYAAJ,PCD
臺灣新北地方法院,049法登107,201,設立登記,財團法人台灣省私立台灣盲人重建院,049/07/06,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAHxxAAA&bc=049&cd=%AA%6B%B5%6E++++++++++++++++&de=000107&ef=PCD&fg=1,output/details/PCD/049/000107/AAAdkxAAHAAAHxxAAA.json,AAAdkxAAHAAAHxxAAA,PCD
臺灣新北地方法院,049法登115,139,設立登記,財團法人台灣省台北縣私立南山高級商工職業學校,049/12/04,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAHxxAAB&bc=049&cd=%AA%6B%B5%6E++++++++++++++++&de=000115&ef=PCD&fg=1,output/details/PCD/049/000115/AAAdkxAAHAAAHxxAAB.json,AAAdkxAAHAAAHxxAAB,PCD
