法院名稱,登記案號,登記號數,案由,法人名稱,登記日期,類別,設立登記撤銷,設立登記註銷,明細,檔案位置,ID,法院代碼
臺灣澎湖地方法院,050登1,1,設立登記,社團法人澎湖縣民眾服務社,050/04/10,社團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAADuuAAG&bc=050&cd=%B5%6E++++++++++++++++++&de=000001&ef=PHD&fg=1,output/details/PHD/AAG/AAAdkxAAHAAADuuAAG.json,AAAdkxAAHAAADuuAAG,PHD
臺灣澎湖地方法院,054法登社1,2,設立登記,社團法人澎湖縣福建同鄉會,054/06/11,社團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAPleAAA&bc=054&cd=%AA%6B%B5%6E%AA%C0++++++++++++++&de=000001&ef=PHD&fg=1,output/details/PHD/AAA/AAAdkxAAHAAAPleAAA.json,AAAdkxAAHAAAPleAAA,PHD
臺灣澎湖地方法院,058法登1,3,設立登記,財團法人台灣省澎湖縣馬公基督教國語禮拜堂,059/01/07,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAPleAAB&bc=058&cd=%AA%6B%B5%6E++++++++++++++++&de=000001&ef=PHD&fg=1,output/details/PHD/AAB/AAAdkxAAHAAAPleAAB.json,AAAdkxAAHAAAPleAAB,PHD
臺灣澎湖地方法院,059法登1,3,變更登記,財團法人台灣省澎湖縣馬公基督教國語禮拜堂,059/04/28,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAPleAAC&bc=059&cd=%AA%6B%B5%6E++++++++++++++++&de=000001&ef=PHD&fg=1,output/details/PHD/AAC/AAAdkxAAHAAAPleAAC.json,AAAdkxAAHAAAPleAAC,PHD
臺灣澎湖地方法院,059法登3,3,變更登記,財團法人台灣省澎湖縣馬公基督教會國語禮拜堂,059/06/24,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAPleAAD&bc=059&cd=%AA%6B%B5%6E++++++++++++++++&de=000003&ef=PHD&fg=1,output/details/PHD/AAD/AAAdkxAAHAAAPleAAD.json,AAAdkxAAHAAAPleAAD,PHD
臺灣澎湖地方法院,061法登1,3,變更登記,財團法人台灣省澎湖縣馬公基督教會國語禮拜堂,061/06/14,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAPleAAE&bc=061&cd=%AA%6B%B5%6E++++++++++++++++&de=000001&ef=PHD&fg=1,output/details/PHD/AAE/AAAdkxAAHAAAPleAAE.json,AAAdkxAAHAAAPleAAE,PHD
臺灣澎湖地方法院,061登法人2,4,設立登記,財團法人澎湖縣觀光協會,061/07/11,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAPlkAAF&bc=061&cd=%B5%6E%AA%6B%A4%48++++++++++++++&de=000002&ef=PHD&fg=1,output/details/PHD/AAF/AAAdkxAAHAAAPlkAAF.json,AAAdkxAAHAAAPlkAAF,PHD
臺灣澎湖地方法院,064法登1,5,設立登記,財團法人台灣更生保護會澎湖區分會,064/02/26,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAPldAAE&bc=064&cd=%AA%6B%B5%6E++++++++++++++++&de=000001&ef=PHD&fg=1,output/details/PHD/AAE/AAAdkxAAHAAAPldAAE.json,AAAdkxAAHAAAPldAAE,PHD
臺灣澎湖地方法院,064法登2,6,設立登記,財團法人澎湖縣馬公鎮鎖港里北極殿暨坤元寺廟會,064/03/20,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAPliAAE&bc=064&cd=%AA%6B%B5%6E++++++++++++++++&de=000002&ef=PHD&fg=1,output/details/PHD/AAE/AAAdkxAAHAAAPliAAE.json,AAAdkxAAHAAAPliAAE,PHD
臺灣澎湖地方法院,065法登1,3,變更登記,財團法人台灣省澎湖縣馬公基督教會國語禮拜堂,065/06/09,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAPlnAAE&bc=065&cd=%AA%6B%B5%6E++++++++++++++++&de=000001&ef=PHD&fg=1,output/details/PHD/AAE/AAAdkxAAHAAAPlnAAE.json,AAAdkxAAHAAAPlnAAE,PHD
臺灣澎湖地方法院,066登法人1,6,變更登記,財團法人澎湖縣馬公鎮鎖港里北極殿及坤元寺廟會,066/01/20,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAPleAAG&bc=066&cd=%B5%6E%AA%6B%A4%48++++++++++++++&de=000001&ef=PHD&fg=1,output/details/PHD/AAG/AAAdkxAAHAAAPleAAG.json,AAAdkxAAHAAAPleAAG,PHD
