法院名稱,登記案號,登記號數,案由,法人名稱,登記日期,類別,設立登記撤銷,設立登記註銷,明細,檔案位置,ID,法院代碼
臺灣屏東地方法院,048法登1,2,設立登記,財團法人台灣省屏東縣潮州三山國王廟,048/06/23,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAANrdAAD&bc=048&cd=%AA%6B%B5%6E++++++++++++++++&de=000001&ef=PTD&fg=1,output/details/PTD/048/000001/AAAdkxAAHAAANrdAAD.json,AAAdkxAAHAAANrdAAD,PTD
臺灣屏東地方法院,051法登2,53,設立登記,財團法人台灣省屏東縣私立屏榮高級商工職業,051/10/23,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAANs2AAD&bc=051&cd=%AA%6B%B5%6E++++++++++++++++&de=000002&ef=PTD&fg=1,output/details/PTD/051/000002/AAAdkxAAHAAANs2AAD.json,AAAdkxAAHAAANs2AAD,PTD
臺灣屏東地方法院,052法登1,7,設立登記,財團法人屏東縣私立美和初級中學,052/07/15,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAANs%2BAAB&bc=052&cd=%AA%6B%B5%6E++++++++++++++++&de=000001&ef=PTD&fg=1,output/details/PTD/052/000001/AAAdkxAAHAAANs+AAB.json,AAAdkxAAHAAANs+AAB,PTD
臺灣屏東地方法院,053法登1,9,設立登記,財團法人屏東縣私立屏信初級中學,053/02/18,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAANtGAAC&bc=053&cd=%AA%6B%B5%6E++++++++++++++++&de=000001&ef=PTD&fg=1,output/details/PTD/053/000001/AAAdkxAAHAAANtGAAC.json,AAAdkxAAHAAANtGAAC,PTD
臺灣屏東地方法院,053法登2,10,設立登記,財團法人屏東縣私立明德初級中學董事會,053/08/03,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAANsMAAC&bc=053&cd=%AA%6B%B5%6E++++++++++++++++&de=000002&ef=PTD&fg=1,output/details/PTD/053/000002/AAAdkxAAHAAANsMAAC.json,AAAdkxAAHAAANsMAAC,PTD
臺灣屏東地方法院,053法登4,11,設立登記,財團法人屏東基督教醫院,053/12/30,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAANsrAAC&bc=053&cd=%AA%6B%B5%6E++++++++++++++++&de=000004&ef=PTD&fg=1,output/details/PTD/053/000004/AAAdkxAAHAAANsrAAC.json,AAAdkxAAHAAANsrAAC,PTD
臺灣屏東地方法院,054法登1,13,設立登記,財團法人台灣省屏東縣私立慈惠高級護理助產職業學校董事會,054/08/09,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAANscAAD&bc=054&cd=%AA%6B%B5%6E++++++++++++++++&de=000001&ef=PTD&fg=1,output/details/PTD/054/000001/AAAdkxAAHAAANscAAD.json,AAAdkxAAHAAANscAAD,PTD
臺灣屏東地方法院,054法登2,14,設立登記,財團法人私立美和護理專科學校,054/10/21,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAANs6AAC&bc=054&cd=%AA%6B%B5%6E++++++++++++++++&de=000002&ef=PTD&fg=1,output/details/PTD/054/000002/AAAdkxAAHAAANs6AAC.json,AAAdkxAAHAAANs6AAC,PTD
臺灣屏東地方法院,055法登1,15,設立登記,財團法人屏東縣新藥會館,055/02/23,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAANq6AAD&bc=055&cd=%AA%6B%B5%6E++++++++++++++++&de=000001&ef=PTD&fg=1,output/details/PTD/055/000001/AAAdkxAAHAAANq6AAD.json,AAAdkxAAHAAANq6AAD,PTD
臺灣屏東地方法院,055法登2,16,設立登記,財團法人私立大仁藥學專科學校,055/02/28,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAANs6AAD&bc=055&cd=%AA%6B%B5%6E++++++++++++++++&de=000002&ef=PTD&fg=1,output/details/PTD/055/000002/AAAdkxAAHAAANs6AAD.json,AAAdkxAAHAAANs6AAD,PTD
