法院名稱,登記案號,登記號數,案由,法人名稱,登記日期,類別,設立登記撤銷,設立登記註銷,明細,檔案位置,ID,法院代碼
臺灣新竹地方法院,037法登3,3,設立登記,財團法人存仁院,037/08/18,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAJbWAAN&bc=037&cd=%AA%6B%B5%6E++++++++++++++++&de=000003&ef=SCD&fg=1,output/details/SCD/037/000003/AAAdkxAAHAAAJbWAAN.json,AAAdkxAAHAAAJbWAAN,SCD
臺灣新竹地方法院,040法登5,5,設立登記,財團法人陳雲如成美團,041/03/19,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAJbyAAL&bc=040&cd=%AA%6B%B5%6E++++++++++++++++&de=000005&ef=SCD&fg=1,output/details/SCD/040/000005/AAAdkxAAHAAAJbyAAL.json,AAAdkxAAHAAAJbyAAL,SCD
臺灣新竹地方法院,041法登6,6,設立登記,財團法人褒忠亭義民中學財團,041/03/19,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAJbyAAM&bc=041&cd=%AA%6B%B5%6E++++++++++++++++&de=000006&ef=SCD&fg=1,output/details/SCD/041/000006/AAAdkxAAHAAAJbyAAM.json,AAAdkxAAHAAAJbyAAM,SCD
臺灣新竹地方法院,041法登8,8,設立登記,財團法人林公九牧學田,041/09/29,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAJbyAAN&bc=041&cd=%AA%6B%B5%6E++++++++++++++++&de=000008&ef=SCD&fg=1,output/details/SCD/041/000008/AAAdkxAAHAAAJbyAAN.json,AAAdkxAAHAAAJbyAAN,SCD
臺灣新竹地方法院,041法登9,9,設立登記,財團法人林公先坤學田,041/09/29,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAJbyAAO&bc=041&cd=%AA%6B%B5%6E++++++++++++++++&de=000009&ef=SCD&fg=1,output/details/SCD/041/000009/AAAdkxAAHAAAJbyAAO.json,AAAdkxAAHAAAJbyAAO,SCD
臺灣新竹地方法院,041法登10,10,設立登記,財團法人劉里益獎學財團,041/10/02,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAJb2AAA&bc=041&cd=%AA%6B%B5%6E++++++++++++++++&de=000010&ef=SCD&fg=1,output/details/SCD/041/000010/AAAdkxAAHAAAJb2AAA.json,AAAdkxAAHAAAJb2AAA,SCD
臺灣新竹地方法院,041法登11,11,設立登記,財團法人劉榮公學田,041/10/09,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAJb2AAB&bc=041&cd=%AA%6B%B5%6E++++++++++++++++&de=000011&ef=SCD&fg=1,output/details/SCD/041/000011/AAAdkxAAHAAAJb2AAB.json,AAAdkxAAHAAAJb2AAB,SCD
臺灣新竹地方法院,041法登12,12,設立登記,財團謝申伯公育英財團法人,041/12/24,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAJb2AAC&bc=041&cd=%AA%6B%B5%6E++++++++++++++++&de=000012&ef=SCD&fg=1,output/details/SCD/041/000012/AAAdkxAAHAAAJb2AAC.json,AAAdkxAAHAAAJb2AAC,SCD
臺灣新竹地方法院,041法登13,13,設立登記,財團法人臺灣省私立建臺中學財團,041/12/02,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAJb2AAD&bc=041&cd=%AA%6B%B5%6E++++++++++++++++&de=000013&ef=SCD&fg=1,output/details/SCD/041/000013/AAAdkxAAHAAAJb2AAD.json,AAAdkxAAHAAAJb2AAD,SCD
臺灣新竹地方法院,041法登14,14,設立登記,財團法人新城學租財團,041/12/09,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAJb2AAE&bc=041&cd=%AA%6B%B5%6E++++++++++++++++&de=000014&ef=SCD&fg=1,output/details/SCD/041/000014/AAAdkxAAHAAAJb2AAE.json,AAAdkxAAHAAAJb2AAE,SCD
