法院名稱,登記案號,登記號數,案由,法人名稱,登記日期,類別,設立登記撤銷,設立登記註銷,明細,檔案位置
臺灣臺中地方法院,037法登1,1,設立登記,財團法人漢雲共立會,037/05/21,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAEgBAAB&bc=037&cd=%AA%6B%B5%6E++++++++++++++++&de=000001&ef=TCD&fg=1,output/details/TCD/AAB/AAAdkxAAHAAAEgBAAB
臺灣臺中地方法院,043法登43,44,設立登記,財團法人臺中縣私立東勢義渡慈善會,043/12/15,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAEgBAAC&bc=043&cd=%AA%6B%B5%6E++++++++++++++++&de=000043&ef=TCD&fg=1,output/details/TCD/AAC/AAAdkxAAHAAAEgBAAC
臺灣臺中地方法院,044法登86,86,設立登記,財團法人天主教會臺中教區,044/10/21,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAEgBAAD&bc=044&cd=%AA%6B%B5%6E++++++++++++++++&de=000086&ef=TCD&fg=1,output/details/TCD/AAD/AAAdkxAAHAAAEgBAAD
臺灣臺中地方法院,045法登8,94,設立登記,財團法人臺灣聖教會,045/08/17,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAEgBAAE&bc=045&cd=%AA%6B%B5%6E++++++++++++++++&de=000008&ef=TCD&fg=1,output/details/TCD/AAE/AAAdkxAAHAAAEgBAAE
臺灣臺中地方法院,045法登24,95,設立登記,財團法人臺灣省臺中市靈山寺,045/10/31,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAEfIAAD&bc=045&cd=%AA%6B%B5%6E++++++++++++++++&de=000024&ef=TCD&fg=1,output/details/TCD/AAD/AAAdkxAAHAAAEfIAAD
臺灣臺中地方法院,045法登財1,87,設立登記,財團法人臺中市私立慶炎慈善會,045/03/12,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAEcgAAB&bc=045&cd=%AA%6B%B5%6E%B0%5D++++++++++++++&de=000001&ef=TCD&fg=1,output/details/TCD/AAB/AAAdkxAAHAAAEcgAAB
臺灣臺中地方法院,046法登22,98,設立登記,財團法人臺中縣私立蘭生救濟院,046/05/08,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAEgEAAD&bc=046&cd=%AA%6B%B5%6E++++++++++++++++&de=000022&ef=TCD&fg=1,output/details/TCD/AAD/AAAdkxAAHAAAEgEAAD
臺灣臺中地方法院,046法登33,104,設立登記,財團法人臺中市私立慈光圖書館,046/10/05,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAEgEAAE&bc=046&cd=%AA%6B%B5%6E++++++++++++++++&de=000033&ef=TCD&fg=1,output/details/TCD/AAE/AAAdkxAAHAAAEgEAAE
臺灣臺中地方法院,046法登96,96,設立登記,財團法人台灣省台中市天主教主顧修女會,046/01/08,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAEgEAAF&bc=046&cd=%AA%6B%B5%6E++++++++++++++++&de=000096&ef=TCD&fg=1,output/details/TCD/AAF/AAAdkxAAHAAAEgEAAF
臺灣臺中地方法院,046法登97,97,設立登記,社團法人台中市潮州同鄉會,046/04/26,社團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAGFQAAH&bc=046&cd=%AA%6B%B5%6E++++++++++++++++&de=000097&ef=TCD&fg=1,output/details/TCD/AAH/AAAdkxAAHAAAGFQAAH
臺灣臺中地方法院,046法登100,100,設立登記,財團法人臺灣省臺中市慎齋堂,046/06/26,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAEgIAAA&bc=046&cd=%AA%6B%B5%6E++++++++++++++++&de=000100&ef=TCD&fg=1,output/details/TCD/AAA/AAAdkxAAHAAAEgIAAA
臺灣臺中地方法院,047法登35,106,設立登記,財團法人臺灣省臺中市佛教蓮社,047/04/17,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAEgBAAA&bc=047&cd=%AA%6B%B5%6E++++++++++++++++&de=000035&ef=TCD&fg=1,output/details/TCD/AAA/AAAdkxAAHAAAEgBAAA
臺灣臺中地方法院,047法登47,115,設立登記,財團法人南投縣私立南投仁愛之家,047/12/13,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAEcRAAC&bc=047&cd=%AA%6B%B5%6E++++++++++++++++&de=000047&ef=TCD&fg=1,output/details/TCD/AAC/AAAdkxAAHAAAEcRAAC
臺灣臺中地方法院,047法登107,107,設立登記,財團法人[真耶穌教會臺灣總會,047/04/26,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAEgHAAF&bc=047&cd=%AA%6B%B5%6E++++++++++++++++&de=000107&ef=TCD&fg=1,output/details/TCD/AAF/AAAdkxAAHAAAEgHAAF
臺灣臺中地方法院,048法登10,109,設立登記,財團法人天主教耀漢小兄弟會,048/02/21,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAEgHAAG&bc=048&cd=%AA%6B%B5%6E++++++++++++++++&de=000010&ef=TCD&fg=1,output/details/TCD/AAG/AAAdkxAAHAAAEgHAAG
臺灣臺中地方法院,048法登20,111,設立登記,財團法人臺灣省臺中市醒修堂,048/04/08,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAEfQAAA&bc=048&cd=%AA%6B%B5%6E++++++++++++++++&de=000020&ef=TCD&fg=1,output/details/TCD/AAA/AAAdkxAAHAAAEfQAAA
臺灣臺中地方法院,048法登110,110,設立登記,財團法人臺灣省基督教會,048/03/21,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAEfQAAB&bc=048&cd=%AA%6B%B5%6E++++++++++++++++&de=000110&ef=TCD&fg=1,output/details/TCD/AAB/AAAdkxAAHAAAEfQAAB
臺灣臺中地方法院,049法登117,117,設立登記,財團法人私立中國醫藥學院,049/08/05,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAEgIAAC&bc=049&cd=%AA%6B%B5%6E++++++++++++++++&de=000117&ef=TCD&fg=1,output/details/TCD/AAC/AAAdkxAAHAAAEgIAAC
臺灣臺中地方法院,050法登11,119,設立登記,財團法人台灣省台中縣私立明道高級中學,050/03/01,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAEcRAAD&bc=050&cd=%AA%6B%B5%6E++++++++++++++++&de=000011&ef=TCD&fg=1,output/details/TCD/AAD/AAAdkxAAHAAAEcRAAD
臺灣臺中地方法院,050法登28,128,設立登記,財團法人台灣省台中市城隍廟,050/06/29,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAEgIAAD&bc=050&cd=%AA%6B%B5%6E++++++++++++++++&de=000028&ef=TCD&fg=1,output/details/TCD/AAD/AAAdkxAAHAAAEgIAAD
臺灣臺中地方法院,050法登30,129,設立登記,財團法人台灣省台中市素貞興慈會,050/07/14,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAEgIAAE&bc=050&cd=%AA%6B%B5%6E++++++++++++++++&de=000030&ef=TCD&fg=1,output/details/TCD/AAE/AAAdkxAAHAAAEgIAAE
臺灣臺中地方法院,050法登31,124,設立登記,財團法人台灣省台中市私立衛道高級中學,050/04/27,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAEgIAAF&bc=050&cd=%AA%6B%B5%6E++++++++++++++++&de=000031&ef=TCD&fg=1,output/details/TCD/AAF/AAAdkxAAHAAAEgIAAF
臺灣臺中地方法院,050法登45,122,設立登記,財團法人私立中山醫學院,050/04/05,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAEfJAAA&bc=050&cd=%AA%6B%B5%6E++++++++++++++++&de=000045&ef=TCD&fg=1,output/details/TCD/AAA/AAAdkxAAHAAAEfJAAA
臺灣臺中地方法院,050法登47,120,設立登記,財團法人台灣省台中市私立光華高級工業職業學校,050/03/01,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAEgFAAA&bc=050&cd=%AA%6B%B5%6E++++++++++++++++&de=000047&ef=TCD&fg=1,output/details/TCD/AAA/AAAdkxAAHAAAEgFAAA
臺灣臺中地方法院,050法登48,,設立登記,財團法人私立中山牙醫專科學校,050/04/05,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAEcdAAE&bc=050&cd=%AA%6B%B5%6E++++++++++++++++&de=000048&ef=TCD&fg=1,output/details/TCD/AAE/AAAdkxAAHAAAEcdAAE
臺灣臺中地方法院,050法登50,130,設立登記,財團法人台灣省台中縣私立明台家事商業職業學校,050/08/18,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAEgFAAB&bc=050&cd=%AA%6B%B5%6E++++++++++++++++&de=000050&ef=TCD&fg=1,output/details/TCD/AAB/AAAdkxAAHAAAEgFAAB
臺灣臺中地方法院,051法登4,135,設立登記,財團法人台灣省台中市萬和宮,051/01/06,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAEgFAAC&bc=051&cd=%AA%6B%B5%6E++++++++++++++++&de=000004&ef=TCD&fg=1,output/details/TCD/AAC/AAAdkxAAHAAAEgFAAC
臺灣臺中地方法院,051法登10,137,設立登記,財團法人台灣省台中市私立新民高級商工職業學校,051/02/27,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAEgFAAD&bc=051&cd=%AA%6B%B5%6E++++++++++++++++&de=000010&ef=TCD&fg=1,output/details/TCD/AAD/AAAdkxAAHAAAEgFAAD
臺灣臺中地方法院,051法登138,138,設立登記,財團法人臺灣省臺中市大山精舍,051/05/01,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAEgFAAE&bc=051&cd=%AA%6B%B5%6E++++++++++++++++&de=000138&ef=TCD&fg=1,output/details/TCD/AAE/AAAdkxAAHAAAEgFAAE
臺灣臺中地方法院,052法登5,141,設立登記,財團法人台灣省台中市賴興公祭祀公業奉祀會,052/02/11,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAEe8AAC&bc=052&cd=%AA%6B%B5%6E++++++++++++++++&de=000005&ef=TCD&fg=1,output/details/TCD/AAC/AAAdkxAAHAAAEe8AAC
臺灣臺中地方法院,052法登20,143,設立登記,財團法人台中市私立懷恩國民中學,052/05/13,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAEchAAA&bc=052&cd=%AA%6B%B5%6E++++++++++++++++&de=000020&ef=TCD&fg=1,output/details/TCD/AAA/AAAdkxAAHAAAEchAAA
臺灣臺中地方法院,052法登42,142,設立登記,財團法人天主教聖母聖心修女會,052/04/29,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAEe8AAD&bc=052&cd=%AA%6B%B5%6E++++++++++++++++&de=000042&ef=TCD&fg=1,output/details/TCD/AAD/AAAdkxAAHAAAEe8AAD
臺灣臺中地方法院,052法登52,144,設立登記,財團法人台灣省南投縣竹山鎮天寶宮,052/11/02,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAEe8AAE&bc=052&cd=%AA%6B%B5%6E++++++++++++++++&de=000052&ef=TCD&fg=1,output/details/TCD/AAE/AAAdkxAAHAAAEe8AAE
臺灣臺中地方法院,052法登87,134,設立登記,財團法人台灣省台中市寶善寺,052/12/12,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAEfAAAA&bc=052&cd=%AA%6B%B5%6E++++++++++++++++&de=000087&ef=TCD&fg=1,output/details/TCD/AAA/AAAdkxAAHAAAEfAAAA
臺灣臺中地方法院,053法登15,148,設立登記,財團法人台灣省台中市私立曉明女子高級中學,053/07/05,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAEfAAAB&bc=053&cd=%AA%6B%B5%6E++++++++++++++++&de=000015&ef=TCD&fg=1,output/details/TCD/AAB/AAAdkxAAHAAAEfAAAB
臺灣臺中地方法院,053法登53,149,設立登記,財團法人台灣省台中市新福宮,053/11/24,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAEf%2FAAD&bc=053&cd=%AA%6B%B5%6E++++++++++++++++&de=000053&ef=TCD&fg=1,output/details/TCD/AAD/AAAdkxAAHAAAEf%2FAAD
臺灣臺中地方法院,054法登10,153,設立登記,財團法人台灣省基督教瑪禮遜協會,054/06/10,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAEchAAB&bc=054&cd=%AA%6B%B5%6E++++++++++++++++&de=000010&ef=TCD&fg=1,output/details/TCD/AAB/AAAdkxAAHAAAEchAAB
臺灣臺中地方法院,054法登45,155,設立登記,社團法人中華民國紅十字會台灣省台中市支會,054/11/04,社團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAEf%2FAAE&bc=054&cd=%AA%6B%B5%6E++++++++++++++++&de=000045&ef=TCD&fg=1,output/details/TCD/AAE/AAAdkxAAHAAAEf%2FAAE
