法院名稱,登記案號,登記號數,案由,法人名稱,登記日期,類別,設立登記撤銷,設立登記註銷,明細,
臺灣臺南地方法院,037法登1,1,設立登記,財團法人私立台南救濟院,037/08/20,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMaQAAB&bc=037&cd=%AA%6B%B5%6E++++++++++++++++&de=000001&ef=TND&fg=1,
臺灣臺南地方法院,044法登3,3,設立登記,財團法人台南市兩廣同鄉會,044/09/01,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMawAAA&bc=044&cd=%AA%6B%B5%6E++++++++++++++++&de=000003&ef=TND&fg=1,
臺灣臺南地方法院,044法登4,4,設立登記,財團法人陳介臣獎學基金會,044/11/25,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMaQAAC&bc=044&cd=%AA%6B%B5%6E++++++++++++++++&de=000004&ef=TND&fg=1,
臺灣臺南地方法院,045法登5,5,設立登記,財團法人台灣製鹽總廠職工福利委員會,045/07/13,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMaQAAD&bc=045&cd=%AA%6B%B5%6E++++++++++++++++&de=000005&ef=TND&fg=1,
臺灣臺南地方法院,045法登6,6,設立登記,財團法人南部台灣基督長老教會,045/09/22,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMaQAAE&bc=045&cd=%AA%6B%B5%6E++++++++++++++++&de=000006&ef=TND&fg=1,
臺灣臺南地方法院,045法登7,7,設立登記,財團法人台灣省台南市私立長榮中學董事會,045/12/29,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMajAAC&bc=045&cd=%AA%6B%B5%6E++++++++++++++++&de=000007&ef=TND&fg=1,
臺灣臺南地方法院,046法登3,3,變更登記,財團法人台南市兩廣同鄉會,046/01/13,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMajAAD&bc=046&cd=%AA%6B%B5%6E++++++++++++++++&de=000003&ef=TND&fg=1,
臺灣臺南地方法院,046法登4,4,變更登記,財團法人陳介臣獎學基金會,046/01/13,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAManAAD&bc=046&cd=%AA%6B%B5%6E++++++++++++++++&de=000004&ef=TND&fg=1,
臺灣臺南地方法院,046法登8,8,設立登記,財團法人台灣糖業股份有限公司烏樹林糖廠職工福利委,046/01/07,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMawAAI&bc=046&cd=%AA%6B%B5%6E++++++++++++++++&de=000008&ef=TND&fg=1,
臺灣臺南地方法院,046法登9,9,設立登記,財團法人台灣糖業︵股︶公司新營總廠職工福利委員會,046/01/07,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMawAAJ&bc=046&cd=%AA%6B%B5%6E++++++++++++++++&de=000009&ef=TND&fg=1,
臺灣臺南地方法院,046法登10,10,設立登記,財團法人台灣糖業︵股︶公司灣裡糖廠職工福利委員會,046/01/07,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMadAAJ&bc=046&cd=%AA%6B%B5%6E++++++++++++++++&de=000010&ef=TND&fg=1,
臺灣臺南地方法院,046法登11,11,設立登記,財團法人台灣糖業︵股︶公司三崁店糖廠職工福利委員,046/01/07,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMadAAK&bc=046&cd=%AA%6B%B5%6E++++++++++++++++&de=000011&ef=TND&fg=1,
臺灣臺南地方法院,046法登12,12,設立登記,財團法人台灣糖業︵股︶公司岸內糖廠職工福利委員會,046/01/21,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMaaAAA&bc=046&cd=%AA%6B%B5%6E++++++++++++++++&de=000012&ef=TND&fg=1,
臺灣臺南地方法院,046法登13,13,設立登記,財團法人台灣省台南市私立長榮女子中學董事會,046/02/16,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMaaAAB&bc=046&cd=%AA%6B%B5%6E++++++++++++++++&de=000013&ef=TND&fg=1,
臺灣臺南地方法院,046法登14,14,設立登記,財團法人台灣糖業︵股︶公司農業工程處職工福利委員,046/04/10,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMaaAAC&bc=046&cd=%AA%6B%B5%6E++++++++++++++++&de=000014&ef=TND&fg=1,
臺灣臺南地方法院,046法登15,15,設立登記,財團法人台南市福州十一縣市同鄉會,046/07/19,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAMafAAA&bc=046&cd=%AA%6B%B5%6E++++++++++++++++&de=000015&ef=TND&fg=1,
