法院名稱,登記案號,登記號數,案由,法人名稱,登記日期,類別,設立登記撤銷,設立登記註銷,明細,檔案位置,ID,法院代碼
臺灣臺東地方法院,048法登社1,2,設立登記,社團法人大同戲院股份有限公司,048/07/30,社團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAANuGAAA&bc=048&cd=%AA%6B%B5%6E%AA%C0++++++++++++++&de=000001&ef=TTD&fg=1,output/details/TTD/048/000001/AAAdkxAAHAAANuGAAA.json,AAAdkxAAHAAANuGAAA,TTD
臺灣臺東地方法院,048法登財1,1,設立登記,財團法人台灣省台東縣天主教白冷會,048/05/30,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAANuCAAE&bc=048&cd=%AA%6B%B5%6E%B0%5D++++++++++++++&de=000001&ef=TTD&fg=1,output/details/TTD/048/000001/AAAdkxAAHAAANuCAAE.json,AAAdkxAAHAAANuCAAE,TTD
臺灣臺東地方法院,050法登社1,4,設立登記,社團法人大裕糖業股份有限公司,050/07/08,社團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAANuGAAB&bc=050&cd=%AA%6B%B5%6E%AA%C0++++++++++++++&de=000001&ef=TTD&fg=1,output/details/TTD/050/000001/AAAdkxAAHAAANuGAAB.json,AAAdkxAAHAAANuGAAB,TTD
臺灣臺東地方法院,050法登財1,3,設立登記,財團法人台東縣私立台東救濟院,050/02/10,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAANuDAAC&bc=050&cd=%AA%6B%B5%6E%B0%5D++++++++++++++&de=000001&ef=TTD&fg=1,output/details/TTD/050/000001/AAAdkxAAHAAANuDAAC.json,AAAdkxAAHAAANuDAAC,TTD
臺灣臺東地方法院,051法登財1,5,設立登記,財團法人台東教會聚會所,051/05/30,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAANuDAAD&bc=051&cd=%AA%6B%B5%6E%B0%5D++++++++++++++&de=000001&ef=TTD&fg=1,output/details/TTD/051/000001/AAAdkxAAHAAANuDAAD.json,AAAdkxAAHAAANuDAAD,TTD
臺灣臺東地方法院,051法登財2,6,設立登記,財團法人台灣省台東縣私立公東高級工業職業學校董事會,051/11/05,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAANuDAAE&bc=051&cd=%AA%6B%B5%6E%B0%5D++++++++++++++&de=000002&ef=TTD&fg=1,output/details/TTD/051/000002/AAAdkxAAHAAANuDAAE.json,AAAdkxAAHAAANuDAAE,TTD
臺灣臺東地方法院,053法登他1,5,變更登記,財團法人台東教會聚會所,053/06/08,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAANuHAAA&bc=053&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000001&ef=TTD&fg=1,output/details/TTD/053/000001/AAAdkxAAHAAANuHAAA.json,AAAdkxAAHAAANuHAAA,TTD
臺灣臺東地方法院,054法登他1,3,變更登記,財團法人台東縣私立台東救濟院,054/12/03,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAANuHAAB&bc=054&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000001&ef=TTD&fg=1,output/details/TTD/054/000001/AAAdkxAAHAAANuHAAB.json,AAAdkxAAHAAANuHAAB,TTD
臺灣臺東地方法院,055法登他1,5,變更登記,財團法人台東教會聚會所,055/07/16,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAANtaAAC&bc=055&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000001&ef=TTD&fg=1,output/details/TTD/055/000001/AAAdkxAAHAAANtaAAC.json,AAAdkxAAHAAANtaAAC,TTD
臺灣臺東地方法院,055法登他2,6,變更登記,財團法人台灣省台東縣私立公東高級工業職業學校董事會,055/09/13,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAANtaAAD&bc=055&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000002&ef=TTD&fg=1,output/details/TTD/055/000002/AAAdkxAAHAAANtaAAD.json,AAAdkxAAHAAANtaAAD,TTD
臺灣臺東地方法院,055法登財1,7,設立登記,財團法人台東縣太平村基督教會靈光堂,055/05/30,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAANtaAAE&bc=055&cd=%AA%6B%B5%6E%B0%5D++++++++++++++&de=000001&ef=TTD&fg=1,output/details/TTD/055/000001/AAAdkxAAHAAANtaAAE.json,AAAdkxAAHAAANtaAAE,TTD
臺灣臺東地方法院,055法登財2,134,設立登記,財團法人北部臺灣基督長老教會東部中會,092/08/01,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAANtaAAF&bc=055&cd=%AA%6B%B5%6E%B0%5D++++++++++++++&de=000002&ef=TTD&fg=1,output/details/TTD/055/000002/AAAdkxAAHAAANtaAAF.json,AAAdkxAAHAAANtaAAF,TTD
臺灣臺東地方法院,056法登財1,8,設立登記,財團法人台灣省台東縣台東基督教會,056/08/09,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAANtbAAA&bc=056&cd=%AA%6B%B5%6E%B0%5D++++++++++++++&de=000001&ef=TTD&fg=1,output/details/TTD/056/000001/AAAdkxAAHAAANtbAAA.json,AAAdkxAAHAAANtbAAA,TTD
臺灣臺東地方法院,059法登他1,134,變更登記,財團法人北部臺灣基督長老教會東部中會,092/08/01,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAANtbAAB&bc=059&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000001&ef=TTD&fg=1,output/details/TTD/059/000001/AAAdkxAAHAAANtbAAB.json,AAAdkxAAHAAANtbAAB,TTD
臺灣臺東地方法院,059法登財1,9,設立登記,財團法人台灣省台東縣基督教浸信會百國十字軍,059/06/09,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAANtNAAE&bc=059&cd=%AA%6B%B5%6E%B0%5D++++++++++++++&de=000001&ef=TTD&fg=1,output/details/TTD/059/000001/AAAdkxAAHAAANtNAAE.json,AAAdkxAAHAAANtNAAE,TTD
臺灣臺東地方法院,060法登財1,10,設立登記,財團法人天理教台東縣傳道所,060/05/31,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAANtNAAF&bc=060&cd=%AA%6B%B5%6E%B0%5D++++++++++++++&de=000001&ef=TTD&fg=1,output/details/TTD/060/000001/AAAdkxAAHAAANtNAAF.json,AAAdkxAAHAAANtNAAF,TTD
臺灣臺東地方法院,061法登財1,11,設立登記,財團法人台東縣私立育仁高級中學,061/05/17,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAANtNAAG&bc=061&cd=%AA%6B%B5%6E%B0%5D++++++++++++++&de=000001&ef=TTD&fg=1,output/details/TTD/061/000001/AAAdkxAAHAAANtNAAG.json,AAAdkxAAHAAANtNAAG,TTD
臺灣臺東地方法院,061法登財2,12,設立登記,財團法人台灣省台東縣私立東峰高級中學,061/12/26,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAANtJAAA&bc=061&cd=%AA%6B%B5%6E%B0%5D++++++++++++++&de=000002&ef=TTD&fg=1,output/details/TTD/061/000002/AAAdkxAAHAAANtJAAA.json,AAAdkxAAHAAANtJAAA,TTD
臺灣臺東地方法院,062法登他1,6,變更登記,財團法人台灣省台東縣私立公東高級工業職業學校,062/06/28,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAANtJAAB&bc=062&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000001&ef=TTD&fg=1,output/details/TTD/062/000001/AAAdkxAAHAAANtJAAB.json,AAAdkxAAHAAANtJAAB,TTD
臺灣臺東地方法院,062法登他2,134,變更登記,財團法人北部臺灣基督長老教會東部中會,092/08/01,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAANtSAAC&bc=062&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000002&ef=TTD&fg=1,output/details/TTD/062/000002/AAAdkxAAHAAANtSAAC.json,AAAdkxAAHAAANtSAAC,TTD
臺灣臺東地方法院,062法登社1,13,設立登記,社團法人台東縣雲南同鄉會,062/08/13,社團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAANuCAAD&bc=062&cd=%AA%6B%B5%6E%AA%C0++++++++++++++&de=000001&ef=TTD&fg=1,output/details/TTD/062/000001/AAAdkxAAHAAANuCAAD.json,AAAdkxAAHAAANuCAAD,TTD
臺灣臺東地方法院,062法登財1,14,設立登記,財團法人台東圓通寺,062/10/03,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAANuAAAF&bc=062&cd=%AA%6B%B5%6E%B0%5D++++++++++++++&de=000001&ef=TTD&fg=1,output/details/TTD/062/000001/AAAdkxAAHAAANuAAAF.json,AAAdkxAAHAAANuAAAF,TTD
臺灣臺東地方法院,062法登財2,15,設立登記,財團法人台東縣大武鄉金龍山紫雲寺,062/10/15,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAANt8AAA&bc=062&cd=%AA%6B%B5%6E%B0%5D++++++++++++++&de=000002&ef=TTD&fg=1,output/details/TTD/062/000002/AAAdkxAAHAAANt8AAA.json,AAAdkxAAHAAANt8AAA,TTD
臺灣臺東地方法院,064法登他1,8,變更登記,財團法人台灣省台東縣台東基督教會,064/03/26,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAANt8AAB&bc=064&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000001&ef=TTD&fg=1,output/details/TTD/064/000001/AAAdkxAAHAAANt8AAB.json,AAAdkxAAHAAANt8AAB,TTD
臺灣臺東地方法院,064法登他2,12,變更登記,財團法人台灣省台東縣私立東峰高級中學,064/09/02,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAANuCAAC&bc=064&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000002&ef=TTD&fg=1,output/details/TTD/064/000002/AAAdkxAAHAAANuCAAC.json,AAAdkxAAHAAANuCAAC,TTD
臺灣臺東地方法院,066法登財1,16,設立登記,財團法人東區職業訓練中心,066/05/19,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAANuAAAE&bc=066&cd=%AA%6B%B5%6E%B0%5D++++++++++++++&de=000001&ef=TTD&fg=1,output/details/TTD/066/000001/AAAdkxAAHAAANuAAAE.json,AAAdkxAAHAAANuAAAE,TTD
臺灣臺東地方法院,069法登他1,16,變更登記,財團法人東區職業訓練中心,069/01/31,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAANtXAAE&bc=069&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000001&ef=TTD&fg=1,output/details/TTD/069/000001/AAAdkxAAHAAANtXAAE.json,AAAdkxAAHAAANtXAAE,TTD
臺灣臺東地方法院,069法登他2,5,變更登記,財團法人台東教會聚會所,069/06/25,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAANtYAAA&bc=069&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000002&ef=TTD&fg=1,output/details/TTD/069/000002/AAAdkxAAHAAANtYAAA.json,AAAdkxAAHAAANtYAAA,TTD
臺灣臺東地方法院,069法登他3,15,變更登記,財團法人台東縣大武鄉金龍山紫雲寺,069/06/25,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAANtYAAB&bc=069&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000003&ef=TTD&fg=1,output/details/TTD/069/000003/AAAdkxAAHAAANtYAAB.json,AAAdkxAAHAAANtYAAB,TTD
臺灣臺東地方法院,069法登他4,134,變更登記,財團法人北部臺灣基督長老教會東部中會,092/08/01,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAANuAAAD&bc=069&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000004&ef=TTD&fg=1,output/details/TTD/069/000004/AAAdkxAAHAAANuAAAD.json,AAAdkxAAHAAANuAAAD,TTD
臺灣臺東地方法院,070法登他1,5,變更登記,財團法人台東教會聚會所,070/06/27,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAANtXAAD&bc=070&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000001&ef=TTD&fg=1,output/details/TTD/070/000001/AAAdkxAAHAAANtXAAD.json,AAAdkxAAHAAANtXAAD,TTD
臺灣臺東地方法院,072法登2,17,設立登記,財團法人台東縣關山鎮南山寺。,072/10/20,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAANtzAAE&bc=072&cd=%AA%6B%B5%6E++++++++++++++++&de=000002&ef=TTD&fg=1,output/details/TTD/072/000002/AAAdkxAAHAAANtzAAE.json,AAAdkxAAHAAANtzAAE,TTD
臺灣臺東地方法院,072法登他1,6,變更登記,財團法人台灣省台東縣私立公東高級工業職業學校,072/02/21,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAANt3AAA&bc=072&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000001&ef=TTD&fg=1,output/details/TTD/072/000001/AAAdkxAAHAAANt3AAA.json,AAAdkxAAHAAANt3AAA,TTD
臺灣臺東地方法院,073法登他9,8,變更登記,財團法人台灣省台東縣基督教會,073/12/08,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAANt3AAB&bc=073&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000009&ef=TTD&fg=1,output/details/TTD/073/000009/AAAdkxAAHAAANt3AAB.json,AAAdkxAAHAAANt3AAB,TTD
臺灣臺東地方法院,073法登財1,19,設立登記,財團法人台東縣私立博愛基金會,073/10/26,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAANtXAAC&bc=073&cd=%AA%6B%B5%6E%B0%5D++++++++++++++&de=000001&ef=TTD&fg=1,output/details/TTD/073/000001/AAAdkxAAHAAANtXAAC.json,AAAdkxAAHAAANtXAAC,TTD
臺灣臺東地方法院,074法登他1,21,設立登記,財團法人台東縣私立蔡奇良文教基金會,074/03/15,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAANtzAAD&bc=074&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000001&ef=TTD&fg=1,output/details/TTD/074/000001/AAAdkxAAHAAANtzAAD.json,AAAdkxAAHAAANtzAAD,TTD
臺灣臺東地方法院,074法登他3,6,變更登記,財團法人台灣省台東縣私立公東高級工業職業學校,074/12/11,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAANtyAAE&bc=074&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000003&ef=TTD&fg=1,output/details/TTD/074/000003/AAAdkxAAHAAANtyAAE.json,AAAdkxAAHAAANtyAAE,TTD
臺灣臺東地方法院,074法登他4,134,變更登記,財團法人北部臺灣基督長老教會東部中會,092/08/01,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAANt2AAA&bc=074&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000004&ef=TTD&fg=1,output/details/TTD/074/000004/AAAdkxAAHAAANt2AAA.json,AAAdkxAAHAAANt2AAA,TTD
臺灣臺東地方法院,074法登財1,21,設立登記,財團法人台東縣私立蔡奇良文教基金會,074/03/21,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAANt2AAB&bc=074&cd=%AA%6B%B5%6E%B0%5D++++++++++++++&de=000001&ef=TTD&fg=1,output/details/TTD/074/000001/AAAdkxAAHAAANt2AAB.json,AAAdkxAAHAAANt2AAB,TTD
臺灣臺東地方法院,075法登他1,6,變更登記,財團法人台灣省台東縣私立公東高級工業職業學校,075/12/10,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAANtzAAC&bc=075&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000001&ef=TTD&fg=1,output/details/TTD/075/000001/AAAdkxAAHAAANtzAAC.json,AAAdkxAAHAAANtzAAC,TTD
臺灣臺東地方法院,076法登3,24,設立登記,財團法人台灣基督長老教會馬偕紀念社會事業基金會,076/12/14,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAANtyAAD&bc=076&cd=%AA%6B%B5%6E++++++++++++++++&de=000003&ef=TTD&fg=1,output/details/TTD/076/000003/AAAdkxAAHAAANtyAAD.json,AAAdkxAAHAAANtyAAD,TTD
臺灣臺東地方法院,077法登4,25,設立登記,財團法人台東縣私立華福社會服務基金會,077/05/23,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAANt4AAG&bc=077&cd=%AA%6B%B5%6E++++++++++++++++&de=000004&ef=TTD&fg=1,output/details/TTD/077/000004/AAAdkxAAHAAANt4AAG.json,AAAdkxAAHAAANt4AAG,TTD
臺灣臺東地方法院,077法登他5,6,變更登記,財團法人台灣省台東縣私立公東高級工業職業學校,077/12/10,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAANt4AAH&bc=077&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000005&ef=TTD&fg=1,output/details/TTD/077/000005/AAAdkxAAHAAANt4AAH.json,AAAdkxAAHAAANt4AAH,TTD
臺灣臺東地方法院,077法登他6,134,變更登記,財團法人北部臺灣基督長老教會東部中會,092/08/01,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAANuAAAA&bc=077&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000006&ef=TTD&fg=1,output/details/TTD/077/000006/AAAdkxAAHAAANuAAAA.json,AAAdkxAAHAAANuAAAA,TTD
臺灣臺東地方法院,078法登1,26,設立登記,財團法人私立台東基督教阿尼色弗兒童之家,078/04/26,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAANtyAAC&bc=078&cd=%AA%6B%B5%6E++++++++++++++++&de=000001&ef=TTD&fg=1,output/details/TTD/078/000001/AAAdkxAAHAAANtyAAC.json,AAAdkxAAHAAANtyAAC,TTD
臺灣臺東地方法院,078法登3,27,設立登記,財團法人臺灣省臺東社會教育館社會教育基金會,078/08/22,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAANt4AAF&bc=078&cd=%AA%6B%B5%6E++++++++++++++++&de=000003&ef=TTD&fg=1,output/details/TTD/078/000003/AAAdkxAAHAAANt4AAF.json,AAAdkxAAHAAANt4AAF,TTD
臺灣臺東地方法院,078法登4,24,變更登記,財團法人台灣基督長老教會馬偕紀念社會事業基金會,078/08/29,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAANtTAAE&bc=078&cd=%AA%6B%B5%6E++++++++++++++++&de=000004&ef=TTD&fg=1,output/details/TTD/078/000004/AAAdkxAAHAAANtTAAE.json,AAAdkxAAHAAANtTAAE,TTD
臺灣臺東地方法院,078法登5,25,變更登記,財團法人台東縣私立華福社會服務基金會,077/05/23,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAANtXAAA&bc=078&cd=%AA%6B%B5%6E++++++++++++++++&de=000005&ef=TTD&fg=1,output/details/TTD/078/000005/AAAdkxAAHAAANtXAAA.json,AAAdkxAAHAAANtXAAA,TTD
臺灣臺東地方法院,078法登財7,29,設立登記,財團法人台東縣私立高明佛堂林坤池基金會,078/11/10,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAANtXAAB&bc=078&cd=%AA%6B%B5%6E%B0%5D++++++++++++++&de=000007&ef=TTD&fg=1,output/details/TTD/078/000007/AAAdkxAAHAAANtXAAB.json,AAAdkxAAHAAANtXAAB,TTD
臺灣臺東地方法院,079法登1,30,設立登記,財團法人中華基督教臺東浸信會,079/02/27,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAANt4AAE&bc=079&cd=%AA%6B%B5%6E++++++++++++++++&de=000001&ef=TTD&fg=1,output/details/TTD/079/000001/AAAdkxAAHAAANt4AAE.json,AAAdkxAAHAAANt4AAE,TTD
臺灣臺東地方法院,079法登6,34,設立登記,財團法人台東縣文化基金會。,079/06/04,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAANtTAAD&bc=079&cd=%AA%6B%B5%6E++++++++++++++++&de=000006&ef=TTD&fg=1,output/details/TTD/079/000006/AAAdkxAAHAAANtTAAD.json,AAAdkxAAHAAANtTAAD,TTD
臺灣臺東地方法院,079法登他3,11,變更登記,財團法人台東縣私立育仁高級中學,079/05/02,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAANteAAA&bc=079&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000003&ef=TTD&fg=1,output/details/TTD/079/000003/AAAdkxAAHAAANteAAA.json,AAAdkxAAHAAANteAAA,TTD
臺灣臺東地方法院,079法登他7,7,變更登記,財團法人台東縣太平村基督教會靈光堂,079/08/29,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAANteAAB&bc=079&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000007&ef=TTD&fg=1,output/details/TTD/079/000007/AAAdkxAAHAAANteAAB.json,AAAdkxAAHAAANteAAB,TTD
臺灣臺東地方法院,079法登他8,134,變更登記,財團法人北部臺灣基督長老教會東部中會,092/08/01,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAANteAAC&bc=079&cd=%AA%6B%B5%6E%A5%4C++++++++++++++&de=000008&ef=TTD&fg=1,output/details/TTD/079/000008/AAAdkxAAHAAANteAAC.json,AAAdkxAAHAAANteAAC,TTD
臺灣臺東地方法院,079法登財2,31,設立登記,財團法人台東基督教浸禮會,079/03/26,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAANtTAAC&bc=079&cd=%AA%6B%B5%6E%B0%5D++++++++++++++&de=000002&ef=TTD&fg=1,output/details/TTD/079/000002/AAAdkxAAHAAANtTAAC.json,AAAdkxAAHAAANtTAAC,TTD
臺灣臺東地方法院,079法登財4,32,設立登記,財團法人台灣省台東縣天主教聖十字架修女會,079/05/02,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAANtdAAE&bc=079&cd=%AA%6B%B5%6E%B0%5D++++++++++++++&de=000004&ef=TTD&fg=1,output/details/TTD/079/000004/AAAdkxAAHAAANtdAAE.json,AAAdkxAAHAAANtdAAE,TTD
臺灣臺東地方法院,079法登財5,33,設立登記,財團法人新約教會台東教會,079/06/12,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAANtSAAA&bc=079&cd=%AA%6B%B5%6E%B0%5D++++++++++++++&de=000005&ef=TTD&fg=1,output/details/TTD/079/000005/AAAdkxAAHAAANtSAAA.json,AAAdkxAAHAAANtSAAA,TTD
臺灣臺東地方法院,080法登1,35,設立登記,財團法人基督教蘭恩文教基金會,080/04/18,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAANtSAAB&bc=080&cd=%AA%6B%B5%6E++++++++++++++++&de=000001&ef=TTD&fg=1,output/details/TTD/080/000001/AAAdkxAAHAAANtSAAB.json,AAAdkxAAHAAANtSAAB,TTD
