法院名稱,登記案號,登記號數,案由,法人名稱,登記日期,類別,設立登記撤銷,設立登記註銷,明細,檔案位置,ID,法院代碼
臺灣雲林地方法院,048法登20,20,設立登記,財團法人大尖山資學社,048/06/04,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAL07AAC&bc=048&cd=%AA%6B%B5%6E++++++++++++++++&de=000020&ef=ULD&fg=1,output/details/ULD/048/000020/AAAdkxAAHAAAL07AAC.json,AAAdkxAAHAAAL07AAC,ULD
臺灣雲林地方法院,049法登24,24,設立登記,財團法人雲林縣廖元子公育英會,049/02/23,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAL0OAAB&bc=049&cd=%AA%6B%B5%6E++++++++++++++++&de=000024&ef=ULD&fg=1,output/details/ULD/049/000024/AAAdkxAAHAAAL0OAAB.json,AAAdkxAAHAAAL0OAAB,ULD
臺灣雲林地方法院,050法登13,13,設立登記,財團法人斗六基督教浸信會,050/03/15,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAL07AAD&bc=050&cd=%AA%6B%B5%6E++++++++++++++++&de=000013&ef=ULD&fg=1,output/details/ULD/050/000013/AAAdkxAAHAAAL07AAD.json,AAAdkxAAHAAAL07AAD,ULD
臺灣雲林地方法院,050法登54,54,設立登記,財團法人雲林縣私立同仁救濟院,050/02/10,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAL0gAAA&bc=050&cd=%AA%6B%B5%6E++++++++++++++++&de=000054&ef=ULD&fg=1,output/details/ULD/050/000054/AAAdkxAAHAAAL0gAAA.json,AAAdkxAAHAAAL0gAAA,ULD
臺灣雲林地方法院,051法登16,16,設立登記,財團法人雲林縣私立永年初級中學董事會,051/11/28,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAL0gAAB&bc=051&cd=%AA%6B%B5%6E++++++++++++++++&de=000016&ef=ULD&fg=1,output/details/ULD/051/000016/AAAdkxAAHAAAL0gAAB.json,AAAdkxAAHAAAL0gAAB,ULD
臺灣雲林地方法院,053法登1,1,設立登記,財團法人廖裕紛獎學金董事會,053/08/18,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAL0OAAA&bc=053&cd=%AA%6B%B5%6E++++++++++++++++&de=000001&ef=ULD&fg=1,output/details/ULD/053/000001/AAAdkxAAHAAAL0OAAA.json,AAAdkxAAHAAAL0OAAA,ULD
臺灣雲林地方法院,053法登2,2,設立登記,財團法人臺灣省雲林縣斗六鎮真一堂董監事會,053/11/04,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAALTcAAB&bc=053&cd=%AA%6B%B5%6E++++++++++++++++&de=000002&ef=ULD&fg=1,output/details/ULD/053/000002/AAAdkxAAHAAALTcAAB.json,AAAdkxAAHAAALTcAAB,ULD
臺灣雲林地方法院,054法登3,3,設立登記,財團法人天主教會嘉義教區,054/05/28,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAL05AAC&bc=054&cd=%AA%6B%B5%6E++++++++++++++++&de=000003&ef=ULD&fg=1,output/details/ULD/054/000003/AAAdkxAAHAAAL05AAC.json,AAAdkxAAHAAAL05AAC,ULD
臺灣雲林地方法院,054法登4,4,設立登記,財團法人雲林縣私立正心初級中學董事會,054/10/15,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAL05AAD&bc=054&cd=%AA%6B%B5%6E++++++++++++++++&de=000004&ef=ULD&fg=1,output/details/ULD/054/000004/AAAdkxAAHAAAL05AAD.json,AAAdkxAAHAAAL05AAD,ULD
臺灣雲林地方法院,054法登5,5,設立登記,財團法人臺灣省雲林縣西螺鎮福善寺,054/10/15,財團,,,http://cdcb.judicial.gov.tw/abbs/wkw/WHD6K05.jsp?ab=AAAdkxAAHAAAL05AAE&bc=054&cd=%AA%6B%B5%6E++++++++++++++++&de=000005&ef=ULD&fg=1,output/details/ULD/054/000005/AAAdkxAAHAAAL05AAE.json,AAAdkxAAHAAAL05AAE,ULD
